case_id,seed,geometry,dep_enabled,dep_sign,frequency_hz,turns,pitch_um,channel_width_um,voltage_v,velocity_um_s,outlet_split_ratio,correct_A_live_inner_dead_outer,correct_B_live_outer_dead_inner,target_correct,preferred_direction,live_recovery_A,dead_removal_A,wall_loss,live_final_lateral_mean_um,dead_final_lateral_mean_um,distribution_gap_um,stage,sample_id,inner_radius_um,inlet_offset_ratio,inlet_spread_ratio,dep_start_fraction,dep_end_fraction,dean_scale,optimization_score
spiral_dep_1_sign_1_f_1819.14kHz_V_12.5979_u_6425_split_0.350802,303,spiral,True,1.0,1819137.4690513432,1.5954895786315322,149.5744742492539,205.8454942908647,12.597880388683082,6425.398788830238,0.350802329183963,0.5473684210526316,0.43157894736842106,0.5473684210526316,A_live_inner_dead_outer,0.3368421052631579,0.7578947368421053,0.021052631578947368,-2.2354934861265625,13.94901963262796,16.184513118754523,baseline_ml_selected,132,1014.9324705196218,0.0,1.0,0.0,1.0,1.0,0.5755931643366935
spiral_dep_1_sign_1_f_2327.78kHz_V_2.24442_u_4736_split_0.520283,303,spiral,True,1.0,2327775.135387589,3.494349955503029,85.6867386894239,228.79476339607888,2.2444176046151365,4735.5327256933015,0.520282959282365,0.4263157894736842,0.5578947368421052,0.5578947368421052,B_live_outer_dead_inner,0.4105263157894737,0.4421052631578947,0.015789473684210527,14.79250497466334,4.339654155413938,10.452850819249402,baseline_ml_selected,136,1043.431315153595,0.0,1.0,0.0,1.0,1.0,0.573163925235794
spiral_dep_1_sign_1_f_1883.46kHz_V_4.14852_u_4737_split_0.380838,303,spiral,True,1.0,1883459.5291987879,1.9232975188333898,216.37245517356138,238.09158467630925,4.148516450243237,4737.4870821958875,0.38083823970148223,0.5421052631578948,0.45263157894736844,0.5421052631578948,A_live_inner_dead_outer,0.43157894736842106,0.6526315789473685,0.005263157894736842,-10.420454672560584,0.2565120554142718,10.676966727974856,baseline_ml_selected,135,675.777951452092,0.0,1.0,0.0,1.0,1.0,0.572369383547912
spiral_dep_1_sign_1_f_2263.97kHz_V_6.05948_u_5736_split_0.291832,303,spiral,True,1.0,2263972.9880948877,1.5100051052829637,179.68202598012473,203.07168092740204,6.059478658154595,5735.73451863957,0.29183241230635504,0.5210526315789473,0.47368421052631576,0.5210526315789473,A_live_inner_dead_outer,0.3263157894736842,0.7157894736842105,0.005263157894736842,-8.633902418399284,0.3703889064362721,9.004291324835556,baseline_ml_selected,126,810.4329012861527,0.0,1.0,0.0,1.0,1.0,0.5454623880579771
spiral_dep_1_sign_1_f_692.368kHz_V_10.9671_u_4981_split_0.430376,303,spiral,True,1.0,692368.2450644819,1.6426426176090334,100.33746389041012,226.63987444672554,10.967089006321624,4981.07108900694,0.43037621888285843,0.5421052631578948,0.4473684210526316,0.5421052631578948,A_live_inner_dead_outer,0.43157894736842106,0.6526315789473685,0.010526315789473684,7.63071236894986,10.584015491116004,2.953303122166144,baseline_ml_selected,122,980.2108537161923,0.0,1.0,0.0,1.0,1.0,0.5382312977696868
spiral_dep_1_sign_1_f_3802.1kHz_V_3.23138_u_2635_split_0.744593,303,spiral,True,1.0,3802097.356864396,2.1112309059417083,174.43895639790858,230.78204713186153,3.2313789046484667,2635.3050984544893,0.7445930260642272,0.5052631578947369,0.49473684210526314,0.5052631578947369,A_live_inner_dead_outer,0.7894736842105263,0.22105263157894736,0.0,-3.627777264980688,1.706688731467348,5.334465996448036,baseline_ml_selected,134,541.5447803378133,0.0,1.0,0.0,1.0,1.0,0.523933788882305
spiral_dep_1_sign_1_f_2875.76kHz_V_3.00091_u_4650_split_0.634372,303,spiral,True,1.0,2875761.9815252586,1.5892932907988133,212.8761038904993,213.34242150615663,3.0009144379330395,4650.480828861184,0.6343719099238341,0.49473684210526314,0.5052631578947369,0.5052631578947369,B_live_outer_dead_inner,0.6526315789473685,0.3368421052631579,0.0,-3.3778198072081578,1.4531633178054346,4.830983125013592,baseline_ml_selected,139,518.0378447855809,0.0,1.0,0.0,1.0,1.0,0.5221715988322845
spiral_dep_1_sign_1_f_1017.05kHz_V_3.47774_u_3987_split_0.685512,303,spiral,True,1.0,1017046.7727712914,1.509530269910945,141.65251839106728,195.59593789076783,3.4777410962654898,3987.47447837524,0.6855115197877011,0.5157894736842106,0.46842105263157896,0.5157894736842106,A_live_inner_dead_outer,0.7578947368421053,0.2736842105263158,0.015789473684210527,-3.458446740371221,0.8028691659667556,4.261315906337977,baseline_ml_selected,138,1164.9179997560243,0.0,1.0,0.0,1.0,1.0,0.5093882898827092
spiral_dep_1_sign_1_f_1216.7kHz_V_9.5946_u_3430_split_0.54378,303,spiral,True,1.0,1216702.834546595,2.2054899493847797,98.0689849670101,232.04543256759592,9.594597292212274,3429.697876416062,0.5437801913836192,0.49473684210526314,0.5052631578947369,0.5052631578947369,B_live_outer_dead_inner,0.49473684210526314,0.49473684210526314,0.0,2.515261438659692,1.8582358461131698,0.657025592546522,baseline_ml_selected,127,664.6457488624055,0.0,1.0,0.0,1.0,1.0,0.5075627474686497
spiral_dep_1_sign_1_f_2724.32kHz_V_5.37636_u_6844_split_0.65626,303,spiral,True,1.0,2724324.1308660726,1.8882074602634171,225.16205992055055,158.21780046816545,5.376356592199486,6843.995023725549,0.6562603444596862,0.4473684210526316,0.5210526315789473,0.5210526315789473,B_live_outer_dead_inner,0.6526315789473685,0.24210526315789474,0.031578947368421054,5.4920575956323185,-1.7431639933757692,7.235221589008088,baseline_ml_selected,129,533.2153070584911,0.0,1.0,0.0,1.0,1.0,0.5037443281931072
