frequency_hz,voltage_v,velocity_m_s,turns,inner_radius_m,pitch_m,channel_width_m,outlet_split_ratio,predicted_score
1720390.8100295553,12.149176040610074,0.004376706846980064,1.8224173699592914,0.001009318841479651,8.63026782068211e-05,0.00022215813326559883,0.2787913961413111,0.48272051741683775
1472578.7292891112,10.11500698609799,0.007061795478245937,1.7945979132968861,0.0010618858063357367,9.479098204722908e-05,0.00020395355305519175,0.7153544703395829,0.46148012098244473
692368.2450644819,10.967089006321624,0.004981071089006941,1.6426426176090334,0.0009802108537161924,0.00010033746389041012,0.00022663987444672556,0.43037621888285843,0.4612715123075034
1945317.0186616764,15.817909835059611,0.005491478643786424,3.4226593511925563,0.0007645669039366682,8.72857004544628e-05,0.00023050701715871102,0.4502954490101677,0.45734131349793516
1138651.0989608404,5.13217564104027,0.0059182537768899665,1.5118312159626597,0.0006855386057269111,0.0002191935698756023,0.00015470150101622323,0.4589946831882456,0.4565989155043969
872882.1821140238,5.421878917410423,0.005544556833501014,1.8938007657303435,0.0008275421009908625,0.0002119562228042365,0.00014780471665984705,0.6051261584112381,0.4547613265899746
2263972.9880948877,6.059478658154595,0.00573573451863957,1.5100051052829637,0.0008104329012861527,0.00017968202598012473,0.00020307168092740204,0.29183241230635504,0.45426728481270107
1216702.834546595,9.594597292212274,0.0034296978764160623,2.2054899493847797,0.0006646457488624055,9.806898496701009e-05,0.00023204543256759592,0.5437801913836192,0.45424484069312926
2824466.493410848,20.24399931647722,0.005816672413079592,2.031819054157587,0.0004846178075367581,0.00013744466013141038,0.00023347629811392814,0.6256397987657842,0.45374732334976164
2724324.1308660726,5.376356592199486,0.006843995023725549,1.8882074602634171,0.0005332153070584911,0.00022516205992055056,0.00015821780046816546,0.6562603444596862,0.45328284605114477
770888.0458445945,8.91023457053199,0.003410664128265634,2.0249637452893943,0.001327151781332882,8.579379056434497e-05,0.0002176277418736249,0.6803696761439485,0.453213531194743
1389078.4855989462,14.828428144432424,0.006091208729340369,1.8476689580903702,0.0010252311841608154,0.000263521834026042,0.00022593100246719134,0.6812083377611828,0.4526328824525673
1819137.4690513432,12.597880388683082,0.006425398788830238,1.5954895786315322,0.0010149324705196218,0.0001495744742492539,0.00020584549429086471,0.350802329183963,0.4526194290273987
4513615.565212127,2.7917663482716866,0.004531106246651942,1.557885290276313,0.0010002542041607147,0.00013235157847473093,0.00011135784885287772,0.5119971909909357,0.45244842278545716
3802097.356864396,3.2313789046484667,0.0026353050984544895,2.1112309059417083,0.0005415447803378134,0.00017443895639790858,0.00023078204713186152,0.7445930260642272,0.45216155471060643
1883459.5291987879,4.148516450243237,0.0047374870821958875,1.9232975188333898,0.000675777951452092,0.00021637245517356138,0.00023809158467630925,0.38083823970148223,0.45203737170458247
2327775.135387589,2.2444176046151365,0.004735532725693301,3.494349955503029,0.001043431315153595,8.56867386894239e-05,0.00022879476339607887,0.520282959282365,0.4506277848352977
1718827.8872517666,19.122977320640032,0.003865929237527229,1.7211874060024406,0.0010760992582518033,0.00018437312780363277,0.00022841575066479564,0.4515565264578453,0.4505045449569775
1017046.7727712914,3.4777410962654898,0.00398747447837524,1.509530269910945,0.0011649179997560244,0.00014165251839106727,0.00019559593789076783,0.6855115197877011,0.4495191204254437
2875761.9815252586,3.0009144379330395,0.004650480828861184,1.5892932907988133,0.0005180378447855808,0.0002128761038904993,0.00021334242150615663,0.6343719099238341,0.4480619376666789
2878691.933496042,5.962801186501038,0.007720177878892221,1.6903361873088663,0.0006141320822746315,0.00018882239310891337,0.00019300265762328968,0.25876521712363787,0.44766883508310296
4958434.604197989,23.08753532700449,0.00469073247357462,2.0626369625354384,0.000729027793513851,0.00028076840527426064,0.00023074384555152455,0.7018432222173597,0.44763376626531376
1165333.8421022887,4.280499792205267,0.005721747627750097,3.2131313259691097,0.0008197205632090875,9.45270040768856e-05,0.00020700038281358657,0.36748418346736617,0.447146061700772
2876406.204165192,2.2124924538550976,0.004026357475352515,1.5070281177797638,0.0005862407492854902,0.0003119792308352505,0.00016121837231160727,0.45671926684176645,0.4466831870753599
2585645.1101887,2.2193450302317217,0.00579910107305395,2.5090926240070046,0.0016775724720615144,0.00019675907983807833,0.00010616323707251214,0.32453239171334264,0.4458994591547391
1946242.9762789255,2.9225388473213716,0.006990183324445352,1.5001464482922815,0.00047762927428601044,0.0003074492325948494,0.00015487484721347035,0.4834920348368279,0.44567339398518113
866250.3897532866,10.842305223775925,0.005629275308058034,1.5427135848834848,0.0006438741869168772,0.0001877131261373002,0.00022200314799804508,0.3245624967845431,0.44540887505705085
3356339.2836695635,2.2631727046885466,0.007445622510968641,1.6745007902037408,0.00047833690079195713,0.00022342516634468984,0.00020956502034878254,0.4732849316340027,0.4451064420782182
1421105.4168827166,19.358632571605906,0.0033882193161638425,2.5094639044706977,0.0010501882419507807,0.00014234000129575901,0.00023178315228660835,0.4847514110029588,0.4445205458429771
2133790.055542858,9.720782102019236,0.004331786387890888,2.8551611744027166,0.0011025411608153006,0.0001019379487668344,0.00020866722537687228,0.5842535493782691,0.44426059920006356
336431.07831633056,2.7512850059095406,0.0062767828803323685,1.6208207663224095,0.0012657111575420988,0.00025358702386393887,9.649742457486277e-05,0.3868368408700747,0.4440644021700869
1037763.9686893165,5.788109969059487,0.0069965658923012925,1.5995767226069175,0.0011119038111169755,0.00026291147717015436,0.0002319834693649632,0.5055153409288573,0.44400898717824616
495066.98589526844,6.33756187860928,0.006527606775390774,1.739547245634265,0.0010861057735691865,0.0002093545891365821,0.00017424905279606696,0.483410971628286,0.4436695434030852
851879.9902871219,3.609425232949113,0.007121561429384908,2.049854773778252,0.0009029275400344564,0.00017855589997077656,0.00016202601307403874,0.43724831093190025,0.4435694034309307
1780111.844112879,4.919907319412102,0.0033525296887162376,2.632667488572125,0.0009414764262170765,8.563914546422369e-05,0.00019346499470369692,0.7083705343717039,0.44334670624399575
1548538.9370377937,16.093246187090905,0.007048695228075158,2.0655271250837446,0.0005954919296192163,0.0002714217748448758,0.00022160378742059535,0.3830041376637897,0.44317345178044326
3808756.7928650817,3.917100473719211,0.0057700873762266385,1.7622482514649351,0.0012575640556961773,0.00011589762836424614,0.000169269609608258,0.4698636430912124,0.4428763568672884
4031948.970165161,4.283806418933195,0.006669275789388149,1.6062242523114845,0.0010096757912684134,0.00011181394947292777,0.00017741749983900867,0.4239310791214437,0.4428640957162659
