case_id,split,seed,turns,voltage_v,velocity_um_s,correct_fraction,live_recovery,dead_removal,live_purity,dead_outlet_purity,wall_loss,live_lost,dead_lost
turns_3.5_voltage_7_velocity_800um_s,design,7,3.5,7.0,800.0,0.3972222222222222,0.2,0.5944444444444444,0.3870967741935484,0.5721925133689839,0.2222222222222222,64,16
turns_3.5_voltage_7_velocity_800um_s,design,11,3.5,7.0,800.0,0.37777777777777777,0.19444444444444445,0.5611111111111111,0.35353535353535354,0.505,0.16944444444444445,46,15
turns_3.5_voltage_7_velocity_800um_s,design,13,3.5,7.0,800.0,0.39444444444444443,0.2222222222222222,0.5666666666666667,0.36036036036036034,0.5340314136125655,0.16111111111111112,51,7
turns_3.5_voltage_7_velocity_800um_s,validation,101,3.5,7.0,800.0,0.39444444444444443,0.22777777777777777,0.5611111111111111,0.37962962962962965,0.5459459459459459,0.18611111111111112,55,12
turns_3.5_voltage_7_velocity_800um_s,validation,103,3.5,7.0,800.0,0.35833333333333334,0.2388888888888889,0.4777777777777778,0.344,0.5088757396449705,0.18333333333333332,54,12
turns_3.5_voltage_7_velocity_800um_s,validation,107,3.5,7.0,800.0,0.3611111111111111,0.14444444444444443,0.5777777777777777,0.28888888888888886,0.5098039215686274,0.18333333333333332,54,12
turns_3.5_voltage_7_velocity_1200um_s,design,7,3.5,7.0,1200.0,0.4027777777777778,0.2388888888888889,0.5666666666666667,0.39090909090909093,0.5368421052631579,0.16666666666666666,49,11
turns_3.5_voltage_7_velocity_1200um_s,design,11,3.5,7.0,1200.0,0.4,0.23333333333333334,0.5666666666666667,0.37168141592920356,0.5204081632653061,0.14166666666666666,44,7
turns_3.5_voltage_7_velocity_1200um_s,design,13,3.5,7.0,1200.0,0.4083333333333333,0.25,0.5666666666666667,0.4017857142857143,0.5151515151515151,0.1388888888888889,39,11
turns_3.5_voltage_7_velocity_1200um_s,validation,101,3.5,7.0,1200.0,0.4222222222222222,0.2722222222222222,0.5722222222222222,0.4188034188034188,0.5175879396984925,0.12222222222222222,35,9
