condition,geometry,dep_enabled,dep_sign,mean_target_correct,std_target_correct,mean_correct_A,mean_correct_B,mean_wall_loss,mean_distribution_gap_um
straight_flow_only,straight,False,1.0,0.53125,0.039031237489989955,0.53125,0.46875,0.0,4.941420162649686
spiral_dep_reversed,spiral,True,-1.0,0.5083333333333334,0.04161455074049622,0.45208333333333334,0.5041666666666668,0.043750000000000004,3.775383657805192
straight_dep_on,straight,True,1.0,0.4979166666666666,0.020090939085401983,0.4395833333333334,0.4979166666666666,0.0625,3.5314922701195397
spiral_flow_only,spiral,False,1.0,0.4916666666666667,0.009547032697824663,0.4666666666666666,0.45625,0.07708333333333334,3.054120786336075
spiral_dep_on,spiral,True,1.0,0.46875,0.012500000000000011,0.4375,0.45416666666666666,0.10833333333333332,4.491550512759068
