stage,sample_id,seed,family,equation,shape_class,inlet_kind,frequency_hz,voltage_v,effective_voltage_v,velocity_um_s,turns,radius_um,pitch_um_per_turn,width_um,eccentricity,curvature_power,inlet_length_um,inlet_offset_ratio,inlet_spread_ratio,dep_start_fraction,dep_end_fraction,electrode_gap_um,electrode_coverage,field_gain,dean_scale,target_correct,wall_loss,distribution_gap_um,live_recovery,dead_removal,live_outlet_purity,dead_outlet_purity,length_mm,footprint_mm2,residence_s,flow_uL_min,pressure_drop_kPa,reynolds,effective_field_kV_m,active_joule_power_mW,adiabatic_delta_c_proxy,steady_substrate_delta_c_proxy,thermal_risk,manufacturable_gap_ok,manufacturable_bend_ok,mean_curvature_1_m,p95_curvature_1_m,min_curvature_radius_um,smoothness_index,path_samples_valid,short_channel_score,v10_score
clean_shape_initial,0,91000,circular_archimedean_short,r(theta)=a+b theta,circular_spiral,tangential,1561559.4009925458,22.46662288086253,23.224531436921048,3822.9551820303936,1.8613201998533044,864.644733176796,85.78408768425258,106.8487994003764,1.0,1.0,556.4955859817771,-0.6567978154355842,0.3541304137418978,0.255118707642135,0.8916251565980202,70.16797020689198,0.3585141310646636,1.0337348679451115,1.2748235604707523,0.5,0.0,15.230525466994717,1.0,0.0,0.5,0.0,11.60334311966989,4.293638488840702,3.0351763405992345,1.225434514084185,0.30193738455312313,0.2596467033246118,330.9847978848889,8.620217469946889,101.27632286552672,10.038359648059679,moderate,True,True,947.3257261900101,1144.6187339820663,873.6533574992735,0.3500679244198729,2014,0.0,0.45
clean_shape_initial,1,91001,circular_archimedean_short,r(theta)=a+b theta,circular_spiral,tangential,1088360.8793976873,11.664028623124588,13.244194919965118,4643.848338713599,1.8660828475486397,860.4635038725655,87.11398998112861,107.47204125206596,1.0,1.0,546.0030168712849,-0.49186842345335724,0.4192079992947596,0.43537861634822633,0.7388434880132144,38.66743734569165,0.4229700379017214,1.1354734584333719,1.4014099557311752,0.5272727272727272,0.0,1.7040866333497853,0.14545454545454545,0.9090909090909091,0.6153846153846154,0.5154639175257731,11.589075839311727,4.276771528885445,2.4955758659685334,1.497251580679698,0.36543469061636186,0.3159840976782652,342.5154556160623,4.43699339299239,42.66520258064674,5.187316370566912,low,True,True,950.1809016412614,1149.909980471921,869.6332904160043,0.3502271636513238,2014,0.0023533133832996773,0.5602191146389227
clean_shape_initial,2,91002,circular_archimedean_short,r(theta)=a+b theta,circular_spiral,tangential,1384699.8114760376,8.39372600091293,9.075149723933766,1972.626291883894,1.8459721023753495,855.6166222923605,150.92809565015872,97.48703413993734,1.0,1.0,200.56985357080194,-0.7435038980482097,0.1343535299326378,0.44166299181310337,0.7160011159889337,49.78809442389069,0.47076778355394566,1.0811825073807177,1.5961677860866301,0.5,0.0,4.906093107653785,1.0,0.0,0.5,0.0,11.743603375715539,4.946101868246293,5.953283409043577,0.5769164599866696,0.16427658979520235,0.1299968985886056,182.2754983685232,1.0435996182305038,26.043586532207627,1.0549718202635059,low,True,True,903.3870699474812,1147.8535027045666,871.1913128668467,0.35662593200230897,2014,0.0,0.5
clean_shape_initial,3,91003,circular_archimedean_short,r(theta)=a+b theta,circular_spiral,tangential,1318096.2512209143,20.635303278821368,29.319992615942176,1145.3850474705741,1.1976354299999692,885.4524567296769,142.43589056093572,141.32511510373436,1.0,1.0,298.1728723684301,-0.7021001037265704,0.15125811869093955,0.38359199783618986,0.8376967102705593,29.70313947591338,0.6221907870955975,1.4208656020110044,1.0243462726438877,0.5,0.0,24.02145331189847,1.0,0.0,0.5,0.0,7.604988802209,4.536148154212175,6.639678786626012,0.4856150210156255,0.05380331147053258,0.08435173738866317,987.1007958508256,47.55431673213875,1409.8653740314003,52.41706742754949,high,True,True,922.0566569103248,1117.4380030340858,894.9042338678153,0.35033130192330253,2014,0.0,0.18978273307144503
clean_shape_initial,4,91004,circular_archimedean_short,r(theta)=a+b theta,circular_spiral,tangential,1616423.5120698595,21.611982759630664,23.318755234940053,3359.267473445987,1.3704875537762113,563.1436157240255,127.34891110905782,111.72498089153946,1.0,1.0,392.0011479878317,-0.7890451602430673,0.2838915198544969,0.4318509220649344,0.6441755052403851,46.46862529495956,0.312424815338776,1.0789734331316188,1.0379121166241614,0.5,0.0,5.548467594499762,1.0,0.0,0.5,0.0,5.995415358663454,2.1349121927352446,1.7847389069359418,1.1259422828409689,0.13463121497558858,0.2313731310615708,501.8171957298989,3.630342833189595,46.42066113022711,8.502323527738179,moderate,True,True,1381.1466655959193,1745.9627767563225,572.7498966832592,0.3560282437594673,2014,0.0,0.45
clean_shape_initial,5,91005,circular_archimedean_short,r(theta)=a+b theta,circular_spiral,tangential,1858345.3244064318,9.933335924369803,10.738475852123072,3380.291736482005,1.2023576230660247,488.1308980110757,129.1777316440718,136.3612417908586,1.0,1.0,345.7020463157089,-0.4384262197042385,0.315517640825862,0.47962257122631413,0.831026863794842,78.08123412203005,0.6032964993628611,1.0810543340005234,1.6490710494655443,0.5181818181818182,0.0,1.8669245815335032,1.0,0.03636363636363636,0.5092592592592593,1.0,4.622872330908171,1.7470440887289929,1.3675956666744291,1.3828223364061918,0.09754011695240111,0.2465952426853812,137.52953539822815,0.4187016816313022,4.359313771404903,1.1983145827072845,low,True,True,1588.4162776958124,2013.7972187009698,496.57432769971996,0.35653414426483215,2014,0.003933013261096557,0.57324400383717
clean_shape_initial,6,91006,circular_archimedean_short,r(theta)=a+b theta,circular_spiral,tangential,1559808.458704154,17.418121058563923,18.915151113971664,1631.6681667961147,1.9729516081419418,685.8527201046111,134.2660490930514,112.65539528813811,1.0,1.0,210.09759455295654,-0.39587469366952305,0.11574705658443635,0.3347422477873485,0.6025698429713312,56.81425072815025,0.48580242918619765,1.0859467017351851,1.2746715348194708,0.5,0.0,6.945457804937419,1.0,0.0,0.5,0.0,10.357584749899969,3.656805772923259,6.347849986089851,0.5514486669284638,0.11260720315935928,0.11267057776836276,332.92969407408924,3.463971883718749,90.437610143728,4.736335614770212,low,True,True,1100.86757592495,1427.2455586127003,700.6502798103025,0.36019851633047595,2014,0.0,0.5
clean_shape_initial,7,91007,circular_archimedean_short,r(theta)=a+b theta,circular_spiral,tangential,1630534.477489311,19.95902496419577,25.25255878780035,4675.25346602552,1.462279392461829,849.7458221689632,93.09210647145082,153.5471389269715,1.0,1.0,182.05387195401732,-0.5174029012330926,0.15476916418390566,0.25445678667619137,0.7775858491584378,34.54573473009611,0.4277364037596336,1.2652200612555262,0.9314004372424319,0.5,0.0,5.798572540102235,1.0,0.0,0.5,0.0,8.615762981015115,4.190681448975882,1.842844039071846,2.1536153803998768,0.2432507941823585,0.35162281418409447,730.9891940379088,36.97984083569126,247.21607318185144,44.12151255821222,high,True,True,974.4590565461705,1166.3316902947345,857.3890329150688,0.3490371335975873,2014,0.0,0.2320806366572349
clean_shape_initial,8,91008,circular_archimedean_short,r(theta)=a+b theta,circular_spiral,tangential,1290416.0322382103,13.074291232930442,14.105868599794803,4839.004356021299,1.3597863241627253,612.364962963926,98.626500079125,142.358818248256,1.0,1.0,246.51396476114837,-0.45915924237929645,0.3576891318140504,0.27177481667785197,0.6846451167288847,77.2064271496575,0.5194386264006168,1.0789012076055113,1.6043858386918872,0.5,0.0,0.1905239495859128,1.0,0.0,0.5,0.0,6.0528853931649405,2.3710904738274587,1.2508534706386816,2.0666248248640655,0.18054016325606714,0.3570454024676449,182.70329453857366,1.1875305483134235,8.272998749490784,2.5041864944033314,low,True,True,1318.2974366610022,1613.3647367884948,619.8226459260313,0.35142901929254994,2014,0.0,0.5
clean_shape_initial,9,91009,circular_archimedean_short,r(theta)=a+b theta,circular_spiral,tangential,1593883.4667750131,18.341742896542296,20.80876951879996,3333.2181563021613,1.053552666425053,914.926490524345,138.06837719472068,105.93572518316527,1.0,1.0,297.09075711541544,-0.39882967889379783,0.3622621337028793,0.26270839980649935,0.7592681233917451,38.239193243584346,0.4220880240705649,1.1345033913174487,1.0498969218567709,0.5,0.0,5.318276856539265,1.0,0.0,0.5,0.0,6.836670707876752,4.446067594125638,2.051072083281007,1.059320647744688,0.1556720550486006,0.22576453312433423,544.1738633513454,10.648756956959584,144.72757585597304,11.975478028077264,moderate,True,True,905.5351083919559,1083.4594980790193,922.969434273276,0.3491165060064684,2014,0.0,0.4474049721721617
