feature,importance
width_um,0.16560892307012162
velocity_um_s,0.13021672201193113
electrode_gap_um,0.09541720473463407
field_gain,0.08255772204019587
inlet_spread_ratio,0.05955852918920422
voltage_v,0.05939075218379775
radius_um,0.04939460242261541
curvature_power,0.044641401970543185
turns,0.03797504428579816
dep_end_fraction,0.037586286484918595
family_id,0.03275509641959602
inlet_offset_ratio,0.030125291404397143
inlet_length_um,0.029498080211718642
dep_start_fraction,0.02887145721564463
dean_scale,0.027294443967073506
pitch_um_per_rad,0.02575930204391393
electrode_coverage,0.025662755097290234
log_frequency_hz,0.02294078063980623
eccentricity,0.014745604606799682
