sample_id,family,equation,shape_class,inlet_kind,mean_target_correct,std_target_correct,mean_wall_loss,mean_live_recovery,mean_dead_removal,mean_live_outlet_purity,mean_dead_outlet_purity,length_mm,footprint_mm2,residence_s,flow_uL_min,active_joule_power_mW,steady_substrate_delta_c_proxy,thermal_risk,manufacturable_gap_ok,manufacturable_bend_ok,min_curvature_radius_um,short_channel_score,v10_score
225,elliptic_archimedean_short,"x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral,major_axis_prefocus,1.0,0.0,0.0,1.0,1.0,1.0,1.0,7.091182330309521,3.152881317980364,7.4647603730298755,0.2888401902355424,4.920396567976167,7.8030158317662535,moderate,True,True,341.4164070528366,0.07051010349330217,1.9371414489062302
209,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1.0,0.0,0.0,1.0,1.0,1.0,1.0,7.78371151846239,4.065238616442081,8.746666530020589,0.25803024345105724,4.01428408670377,4.937328980478263,low,True,True,759.3603142950432,0.06423670749025537,1.8993139048635752
223,elliptic_archimedean_short,"x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral,major_axis_prefocus,0.9944444444444445,0.0,0.0,0.9888888888888889,1.0,1.0,0.989010989010989,7.847711943360043,2.9159040664672653,7.5036636290604015,0.31071423775522977,2.037544365204567,3.493846708875326,low,True,True,402.1618527977845,0.06300491761331714,1.8765132910308844
218,elliptic_archimedean_short,"x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral,major_axis_prefocus,1.0,0.0,0.0,1.0,1.0,1.0,1.0,7.917081471306615,2.7584275085032086,7.6646632072313645,0.3335688835519588,4.559801262157957,8.265218585773564,moderate,True,True,406.4675953444731,0.06315458566545246,1.8341641993163342
230,elliptic_prefocus_spiral,"straight inlet + x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral_with_inlet,straight_prefocus,1.0,0.0,0.0,1.0,1.0,1.0,1.0,6.73468980226091,2.3157907108756066,7.074975134590408,0.2697650023120442,23.58874792894756,50.93022400117623,high,True,True,357.040675404623,0.07424246916794067,1.8250395766353793
232,elliptic_prefocus_spiral,"straight inlet + x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral_with_inlet,straight_prefocus,1.0,0.0,0.0,1.0,1.0,1.0,1.0,9.779036788210572,3.9978932249553543,10.335724989281918,0.26893854799247807,1.7144658957294867,2.1442117125934907,low,True,True,461.299055130303,0.05112978004160807,1.7158169205825131
79,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,0.9727272727272728,0.0,0.0,0.9454545454545454,1.0,1.0,0.9482758620689655,9.146843855674827,3.8966740880164608,7.7762351644933,0.3680889091536438,8.220444042904402,10.548026159263536,moderate,True,True,588.5811214142406,0.05168200968402738,1.6462754083036562
221,elliptic_prefocus_spiral,"straight inlet + x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral_with_inlet,straight_prefocus,1.0,0.0,0.0,1.0,1.0,1.0,1.0,8.977484829335147,2.877555244564377,9.75569045779092,0.26250531945268657,8.833847213002489,15.34957014237934,high,True,True,322.7441976507767,0.055694886653128314,1.6197284131437966
226,superellipse_oval_spiral,"x=r sign(cos(theta))|cos(theta)|^q, y=e r sign(sin(theta))|sin(theta)|^q",superellipse_oval,rounded_oval_entry,0.9388888888888889,0.0,0.0,1.0,0.8777777777777778,0.8910891089108911,1.0,7.60143349336644,2.6773109871752276,8.69039377835552,0.29700399284010187,6.526599841993902,12.188721955083698,high,True,True,317.9210976350479,0.0577376476781511,1.5872159563830044
224,superellipse_oval_spiral,"x=r sign(cos(theta))|cos(theta)|^q, y=e r sign(sin(theta))|sin(theta)|^q",superellipse_oval,rounded_oval_entry,0.9944444444444445,0.0,0.0,0.9888888888888889,1.0,1.0,0.989010989010989,11.709951480617804,5.107186648864823,12.743541710445825,0.2787384884104482,2.221035098081394,2.1744213113643154,low,True,True,539.2665923734012,0.04222429488822768,1.578149155775174
212,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,0.9944444444444445,0.0,0.0,0.9888888888888889,1.0,1.0,0.989010989010989,13.116553713227493,7.227895616010805,14.484836384362527,0.26798117411706,2.45636563084293,1.6992259997513897,low,True,True,979.871895566743,0.03769621619021908,1.4973431072638863
17,circular_archimedean_short,r(theta)=a+b theta,circular_spiral,tangential,1.0,0.0,0.0,1.0,1.0,1.0,1.0,10.14488691077034,3.565817678332263,9.921436154050014,0.2989696890111976,21.433260205599304,30.053780281362656,high,True,True,764.0780779517999,0.049285911651629544,1.4842697223004164
219,circular_archimedean_short,r(theta)=a+b theta,circular_spiral,tangential,0.9944444444444445,0.0,0.005555555555555556,1.0,0.9888888888888889,1.0,1.0,12.55883082253528,4.8629109056487145,12.603331661866768,0.31308525641746576,7.002442137280561,7.199846216744982,moderate,True,True,833.824872531604,0.03937026076959526,1.4829281119334436
161,superellipse_oval_spiral,"x=r sign(cos(theta))|cos(theta)|^q, y=e r sign(sin(theta))|sin(theta)|^q",superellipse_oval,rounded_oval_entry,0.8636363636363636,0.0,0.0,1.0,0.7272727272727273,0.7857142857142857,1.0,8.883044250829846,2.7860151528872277,8.504708210774888,0.3103510242687336,2.3066946550219183,4.139774065175891,low,True,True,411.4381466472266,0.04093600722549514,1.4367404647932958
227,elliptic_archimedean_short,"x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral,major_axis_prefocus,0.9722222222222222,0.0,0.005555555555555556,0.9555555555555556,0.9888888888888889,1.0,0.956989247311828,14.011373234410742,5.757121576679937,14.614472637910708,0.3393834007510234,6.354447322516966,5.518771175735271,low,True,True,682.5684263027052,0.03370277947221365,1.4112497417874397
204,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,0.9888888888888889,0.0,0.011111111111111112,1.0,0.9777777777777777,1.0,1.0,14.47118489272555,9.891472060930344,16.52495087991907,0.2619977543032754,5.700089581621808,2.881315109879452,low,True,True,1314.060034946581,0.03378361153651255,1.4032766082675405
208,superellipse_oval_spiral,"x=r sign(cos(theta))|cos(theta)|^q, y=e r sign(sin(theta))|sin(theta)|^q",superellipse_oval,rounded_oval_entry,0.8333333333333334,0.0,0.0,0.6666666666666666,1.0,1.0,0.75,8.300715768971134,2.6519072839139026,8.483071322904937,0.28891687544232003,2.893818209776726,5.456107435071772,low,True,True,327.47762203712165,0.04015717952653735,1.3955338467048564
127,elliptic_prefocus_spiral,"straight inlet + x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral_with_inlet,straight_prefocus,0.8818181818181818,0.0,0.0,0.8,0.9636363636363636,0.9565217391304348,0.828125,10.832190660164645,4.621416157110763,12.397711589502771,0.3041489691224406,4.073561762847345,4.407265678270004,low,True,True,662.0369439668809,0.03524847316640366,1.3713196902528053
52,elliptic_archimedean_short,"x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral,major_axis_prefocus,0.7181818181818181,0.0,0.0,0.8727272727272727,0.5636363636363636,0.6666666666666666,0.8157894736842105,4.832816953827407,1.8935491904119737,0.9529540735010982,1.4806811767136658,1.994153481170212,5.265650058809273,low,True,True,468.3188117486547,0.04514588908835591,1.3502242654188008
214,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,0.7833333333333333,0.0,0.0,0.7222222222222222,0.8444444444444444,0.8227848101265823,0.7524752475247525,7.658610007744934,3.018542197007645,7.472644562913874,0.33783254405686036,1.4338565281837217,2.37508113950691,low,True,True,600.5670986820847,0.036995399040662263,1.301268919902605
207,circular_archimedean_short,r(theta)=a+b theta,circular_spiral,tangential,0.8222222222222222,0.0,0.0,0.6444444444444445,1.0,1.0,0.7377049180327869,9.049475070907373,3.3115713158382896,8.866983584449233,0.31823360681122514,5.294862823493572,7.9944870855864885,moderate,True,True,694.749220164638,0.035606730743766066,1.270716452634947
216,superellipse_oval_spiral,"x=r sign(cos(theta))|cos(theta)|^q, y=e r sign(sin(theta))|sin(theta)|^q",superellipse_oval,rounded_oval_entry,0.75,0.0,0.0,0.5,1.0,1.0,0.6666666666666666,7.043263756296295,1.9027325170943725,6.573369987671067,0.3201899072794843,0.8922145826437687,2.344561241866652,low,True,True,320.15927345834496,0.0354949081349557,1.2469287138893796
220,superellipse_oval_spiral,"x=r sign(cos(theta))|cos(theta)|^q, y=e r sign(sin(theta))|sin(theta)|^q",superellipse_oval,rounded_oval_entry,0.9722222222222222,0.0,0.0,0.9444444444444444,1.0,1.0,0.9473684210526315,13.760980402078063,5.237530178575148,14.74543063666619,0.27936341940147486,14.765890451631606,14.096234244180158,high,True,True,574.9877364976461,0.03431603042984578,1.2461287800668748
84,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,0.9636363636363636,0.0,0.0,1.0,0.9272727272727272,0.9322033898305084,1.0,13.198286698801516,7.50999512977843,11.358607069845998,0.33158201054621705,22.959805596740424,15.286165436846172,high,True,True,1011.5179446648732,0.03512852646839871,1.243596511806984
70,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,0.8636363636363636,0.0,0.0,0.9818181818181818,0.7454545454545455,0.7941176470588235,0.9761904761904762,13.803931707377291,8.083625761892552,4.466672831344559,1.0620612119973387,7.721504217513295,4.776015395166886,low,True,True,1122.5472717725108,0.026342955858150472,1.2324377456504703
206,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,0.8388888888888889,0.0,0.0,1.0,0.6777777777777778,0.7563025210084033,1.0,10.915141244560145,5.899222601666635,9.356551130093429,0.3478609467581494,10.628308923279187,9.008228406465372,moderate,True,True,839.5278979231377,0.031047595381121004,1.221041988531466
205,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,0.8611111111111112,0.0,0.0,1.0,0.7222222222222222,0.782608695652174,1.0,13.702617863613813,8.495957705228959,13.85838788844446,0.2938335953302001,2.7701746243507155,1.6302897921948059,low,True,True,1116.1167734426801,0.026353439518299077,1.2114753854828537
13,circular_archimedean_short,r(theta)=a+b theta,circular_spiral,tangential,0.8,0.0,0.0,0.6,1.0,1.0,0.7142857142857143,10.285706183556968,4.413291267139923,10.335565693975756,0.35082908485244757,5.86490191702288,6.644589674707431,moderate,True,True,901.5482219838741,0.02916668964155216,1.1583336549817302
31,circular_archimedean_short,r(theta)=a+b theta,circular_spiral,tangential,0.7636363636363637,0.0,0.0,0.5272727272727272,1.0,1.0,0.6790123456790124,10.82793011949916,4.475634048128091,3.4462264642105147,0.901823742065785,2.812541372921975,3.1420591391942603,low,True,True,837.0589651028364,0.024347808004560528,1.104505675700211
86,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,0.8636363636363636,0.0,0.0,0.7272727272727273,1.0,1.0,0.7857142857142857,10.871667531502034,8.77836584274988,3.7086465524964147,0.857289485193378,27.841096708358407,15.857790166806835,high,True,True,1215.9333055352834,0.03344807616519556,1.1005450431156678
171,concentric_electrode_spiral,r(theta)=a+b theta with constant electrode gap g,circular_spiral,dual_side_electrode_entry,0.8818181818181818,0.0,0.0,1.0,0.7636363636363637,0.8088235294117647,1.0,12.585859993546944,3.813830751168265,9.87833649659813,0.3663256167399877,26.58098889376687,34.84814957457734,high,True,True,763.8163984319119,0.030337075258579763,1.0802132798632311
15,circular_archimedean_short,r(theta)=a+b theta,circular_spiral,tangential,0.7272727272727273,0.0,0.0,0.45454545454545453,1.0,1.0,0.6470588235294118,11.292504226126274,4.708727346827765,11.99625603404753,0.33939152108738113,4.014034918964022,4.2623352588765275,low,True,True,838.4518909324058,0.02012598115720961,1.0090364634736617
100,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,0.7363636363636363,0.0,0.0,0.8181818181818182,0.6545454545454545,0.703125,0.782608695652174,13.247690953285689,7.193885308985358,4.60180527899576,0.8799057493603261,1.7189050166357986,1.1946986522629428,low,True,True,999.6330801471602,0.017841874270550784,0.9861498761513473
211,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,0.9444444444444444,0.0,0.05555555555555555,0.8888888888888888,1.0,1.0,1.0,14.767993101993651,8.54818591761722,13.193064082487316,0.32361641415032866,56.10956949937376,32.81957718288264,high,True,True,1138.4676643885673,0.030095114574806056,0.9427404630026942
115,elliptic_prefocus_spiral,"straight inlet + x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral_with_inlet,straight_prefocus,0.7727272727272727,0.0,0.0,0.5454545454545454,1.0,1.0,0.6875,9.592874808988745,4.249503995507865,3.3164528514766602,0.9942194713026691,29.488204326628278,34.696054360462,high,True,True,531.4767180998074,0.028430192007897464,0.9327971435313239
228,elliptic_archimedean_short,"x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral,major_axis_prefocus,0.65,0.0,0.0,0.3,1.0,1.0,0.5882352941176471,7.457572665434997,3.2181391897393707,6.777523552606322,0.3174279500643273,0.8979944629863571,1.3952076185043498,low,True,True,592.7598761042739,0.02011378322805127,0.9315929651927177
107,elliptic_prefocus_spiral,"straight inlet + x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral_with_inlet,straight_prefocus,0.6454545454545455,0.0,0.0,1.0,0.2909090909090909,0.5851063829787234,1.0,6.939552822658249,3.717997175976466,1.6416536764829313,1.4821958420473165,5.67860280654621,7.636642172885494,moderate,True,True,488.4417569983855,0.020960218788107447,0.8888976084880498
81,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,0.8272727272727273,0.0,0.0,0.9636363636363636,0.6909090909090909,0.7571428571428571,0.95,9.07681271790486,4.025099321466797,3.546493412210439,1.0188637241570841,81.27835082657798,100.96440402489137,high,True,True,717.3538865057579,0.03605590832860871,0.8869420405669374
22,circular_archimedean_short,r(theta)=a+b theta,circular_spiral,tangential,0.6,0.0,0.0,0.23636363636363636,0.9636363636363636,0.8666666666666667,0.5578947368421052,5.530602268745851,2.0129009405262686,3.0068505345829495,0.702862805003091,2.0222399026426303,5.023197768773262,low,True,True,540.1827306165784,0.0180812134268112,0.8531369879753568
130,elliptic_prefocus_spiral,"straight inlet + x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral_with_inlet,straight_prefocus,0.6545454545454545,0.0,0.0,0.3090909090909091,1.0,1.0,0.5913978494623656,6.184327762909168,2.3071566070126592,2.547951841766622,0.6599083112240836,6.696601681863053,14.512672571746034,high,True,True,202.30943041996844,0.024989855077272756,0.8444034256272731
215,circular_archimedean_short,r(theta)=a+b theta,circular_spiral,tangential,0.6666666666666666,0.0,0.0,0.3333333333333333,1.0,1.0,0.6,10.926014341736145,4.305440373054973,10.054089290638867,0.3375009364910563,5.825881527628383,6.765720835537392,moderate,True,True,821.9350130809606,0.015254113847354082,0.8302242605296237
