index,progress,theta_rad,x_m,y_m,channel_width_m,electrode_gap_m,alpha_dep
0,0.0,0.0,0.0009367316335684363,-0.0008252371137395741,9.474944316322902e-05,6.123374798699125e-05,3.2349409530012416e-10
1,0.0005586592178770949,0.0,0.0009368737996362065,-0.0008209165005786339,9.474944316322902e-05,6.123374798699125e-05,3.328070908225969e-10
2,0.0011173184357541898,0.0,0.0009370159657039766,-0.0008165958874176937,9.474944316322902e-05,6.123374798699125e-05,3.4238819598549886e-10
3,0.0016759776536312849,0.0,0.0009371581317717466,-0.0008122752742567536,9.474944316322902e-05,6.123374798699125e-05,3.522451293342828e-10
4,0.0022346368715083797,0.0,0.0009373002978395167,-0.0008079546610958133,9.474944316322902e-05,6.123374798699125e-05,3.6238583162179157e-10
5,0.002793296089385475,0.0,0.0009374424639072867,-0.0008036340479348732,9.474944316322902e-05,6.123374798699125e-05,3.7281847220533963e-10
6,0.0033519553072625698,0.0,0.0009375846299750568,-0.000799313434773933,9.474944316322902e-05,6.123374798699125e-05,3.8355145562794594e-10
7,0.003910614525139665,0.0,0.0009377267960428269,-0.0007949928216129928,9.474944316322902e-05,6.123374798699125e-05,3.9459342838904467e-10
8,0.004469273743016759,0.0,0.0009378689621105969,-0.0007906722084520527,9.474944316322902e-05,6.123374798699125e-05,4.0595328591010917e-10
9,0.005027932960893855,0.0,0.0009380111281783671,-0.0007863515952911124,9.474944316322902e-05,6.123374798699125e-05,4.176401797008156e-10
10,0.00558659217877095,0.0,0.0009381532942461372,-0.0007820309821301723,9.474944316322902e-05,6.123374798699125e-05,4.2966352473149746e-10
11,0.006145251396648044,0.0,0.0009382954603139072,-0.0007777103689692322,9.474944316322902e-05,6.123374798699125e-05,4.4203300701785827e-10
12,0.0067039106145251395,0.0,0.0009384376263816773,-0.0007733897558082919,9.474944316322902e-05,6.123374798699125e-05,4.5475859142403e-10
13,0.007262569832402235,0.0,0.0009385797924494474,-0.0007690691426473517,9.474944316322902e-05,6.123374798699125e-05,4.678505296902814e-10
14,0.00782122905027933,0.0,0.0009387219585172174,-0.0007647485294864116,9.474944316322902e-05,6.123374798699125e-05,4.81319368691816e-10
15,0.008379888268156424,0.0,0.0009388641245849875,-0.0007604279163254714,9.474944316322902e-05,6.123374798699125e-05,4.951759589353575e-10
16,0.008938547486033519,0.0,0.0009390062906527575,-0.0007561073031645312,9.474944316322902e-05,6.123374798699125e-05,5.094314633003062e-10
17,0.009497206703910615,0.0,0.0009391484567205277,-0.0007517866900035911,9.474944316322902e-05,6.123374798699125e-05,5.240973660315858e-10
