family,sample_id,note,frequency_hz,voltage_v,velocity_um_s,turns,inner_radius_um,pitch_um,channel_width_um,outlet_split_ratio,inlet_offset_ratio,inlet_spread_ratio,dep_start_fraction,dep_end_fraction,dep_sign,dean_scale,target_correct,wall_loss,distribution_gap_um,live_recovery,dead_removal,live_outlet_purity,dead_outlet_purity,length_mm,footprint_mm2,residence_s,flow_uL_min,pressure_drop_kPa,reynolds,electric_field_kV_m,active_joule_power_mW,adiabatic_delta_c_proxy,steady_substrate_delta_c_proxy,min_bend_radius_um,thermal_risk,v7_score
short_smooth_spiral,29,Shorter smooth Archimedean spiral.,1388555.0612704507,22.998932393654073,2029.642520840382,4.496568625071776,747.1789003909548,196.65568472080432,161.1887123142982,0.3555152519014947,-0.5749147080659271,0.2644289603448955,0.2920465526657094,0.9264710289857037,-1.0,0.65,0.9642857142857143,0.0,28.906175193183085,0.9285714285714286,1.0,1.0,0.9333333333333333,33.61371665367393,9.208359643009647,16.561397540960087,0.9814663931778219,0.40701439817436336,0.15444670050073808,142.6832689674261,6.998052432802953,102.65534551663,3.7998366180861494,666.5845442338058,low,0.9642857142857143
short_smooth_spiral,28,Shorter smooth Archimedean spiral.,1388555.0612704507,24.0,2533.9625475835915,4.751929482359016,685.6251226669071,234.5529761202113,143.69294955779742,0.3555152519014947,-0.7589715857381328,0.2913909088018627,0.28478324119364207,0.743318274314519,-1.0,0.65,0.9357142857142857,0.0,29.014764190945186,0.8714285714285714,1.0,1.0,0.8860759493670886,37.128031997793876,11.00994455190233,14.652162887411057,1.0923376575938306,0.5783799807512275,0.18742045887703254,167.02280852232428,6.824352884471081,89.94652310796636,3.0991767725532955,613.7786478880084,low,0.9357142857142857
short_smooth_spiral,27,Shorter smooth Archimedean spiral.,1388555.0612704507,23.92300356760085,3013.2056146071955,4.979652763570994,732.8850295964194,215.22503362222054,157.97089668858177,0.3555152519014947,-0.6398047204494444,0.2645245244330868,0.2988061752541821,1.0,-1.0,0.65,0.9714285714285714,0.0,29.31694000363946,0.9428571428571428,1.0,1.0,0.9459459459459459,39.71243274119449,11.146404618027358,13.179463276146672,1.4279963785397034,0.7174356994028929,0.2281909651900268,151.43930982908714,10.088321212612243,101.71186226676068,4.525370089426033,653.8995812521284,moderate,0.9114285714285715
long_low_voltage_spiral,138,Longer path intended to reduce field intensity need.,1388555.0612704507,24.0,2877.651618315695,8.52060482157609,831.5086390607337,237.4710838826541,168.6599671739999,0.3555152519014947,-0.6757297551806571,0.3182598090223433,0.44032239775448534,0.8766918829558114,-1.0,0.55,1.0,0.0,36.39676547691775,1.0,1.0,1.0,1.0,98.70224436301118,27.140556930321303,34.29958085780451,1.4560338824499983,1.6764519855457767,0.2212972954559285,142.29814224522016,14.709295519716171,145.4454709850128,2.7098367136458825,747.1786554737337,moderate,0.9040112022714174
stepwise_late_dep_spiral,121,Stepwise/multi-stage-inspired late DEP activation.,1388555.0612704507,22.272991871374998,1744.3746529495222,6.5773633600600405,779.8793079856449,236.42419759260952,184.44061787294638,0.3555152519014947,-0.5411092380295437,0.20750496449848868,0.5915931801451617,0.9320725550086099,-1.0,0.85,0.9071428571428571,0.0,23.0307480178211,0.8857142857142857,0.9285714285714286,0.9253731343283582,0.8904109589041096,64.38310740849792,18.507263219244223,36.908990450895416,0.9652006163757489,0.6501097308916848,0.13682285138379005,120.75969018233259,5.896078966168001,87.9479075297827,1.592909469196164,687.6589990491718,low,0.896779371466514
short_smooth_spiral,23,Shorter smooth Archimedean spiral.,1388555.0612704507,23.048726613312645,2991.353852908086,4.268879885682004,660.7155043372285,232.32094638685314,152.60763470279858,0.3555152519014947,-0.6741283413982639,0.3057171672501034,0.32638959432582315,0.9506702030188975,-1.0,0.65,0.8785714285714286,0.0,25.16063513254917,0.7571428571428571,1.0,1.0,0.8045977011494253,31.039203790153568,9.389102383837898,10.37630628686017,1.369510308154219,0.5615964298446663,0.2246380924444825,151.03259190275602,6.745404990718443,70.91245719522037,3.5921458276617413,584.4116869858291,low,0.8785714285714286
stepwise_late_dep_spiral,113,Stepwise/multi-stage-inspired late DEP activation.,1388555.0612704507,24.0,2284.614069562196,6.374860813090577,879.4671696703549,216.9057814612511,195.71193526082305,0.3555152519014947,-0.5275913381420448,0.29558022790898975,0.5318306977379907,1.0,-1.0,0.85,0.8785714285714286,0.0,25.635789058295263,0.9285714285714286,0.8285714285714286,0.8441558441558441,0.9206349206349206,62.93537860094271,17.498412457853462,27.547487971569353,1.341378722634366,0.8225485205776839,0.1814258072902675,122.62920995602785,8.671674241434866,93.0746371971095,2.4778459938355524,781.6112020399434,low,0.8785714285714286
long_low_voltage_spiral,130,Longer path intended to reduce field intensity need.,1388555.0612704507,24.0,2715.687551929474,9.5,938.9701027682615,251.01150599928982,187.76581593306673,0.3555152519014947,-0.6339160151259289,0.2534195405783979,0.48770658624009483,0.8539698279590983,-1.0,0.55,0.9928571428571429,0.0,33.73143560244327,0.9857142857142858,1.0,1.0,0.9859154929577465,127.24158957752948,36.69081357513267,46.85428170377162,1.5297398670219309,1.99297875771742,0.21381692197645558,127.81879321716008,14.296455456904122,134.5521372808209,1.9482336399585312,845.0871948017283,moderate,0.8511483088963394
stepwise_late_dep_spiral,122,Stepwise/multi-stage-inspired late DEP activation.,1388555.0612704507,24.0,2918.3593095078527,5.849883898612868,773.6135702926049,199.73316264792595,169.405434753874,0.3555152519014947,-0.5946930378906667,0.38937006433093085,0.5435739403137227,1.0,-1.0,0.85,0.8428571428571429,0.0,20.86006662652157,0.8714285714285714,0.8142857142857143,0.8243243243243243,0.8636363636363636,49.92258311310661,12.90454108686404,17.10638678056592,1.48315778278558,0.8590590247656243,0.224653856166024,141.6719601402939,7.747518566498172,75.20644860538772,3.0018574524841606,688.9108529156679,low,0.8428571428571429
long_low_voltage_spiral,133,Longer path intended to reduce field intensity need.,1388555.0612704507,24.0,2673.1048013797385,9.5,834.2267700473576,258.8846947564916,187.45357249303078,0.3555152519014947,-0.6160579872459035,0.26367493218218624,0.4268679168526556,0.9143259273461315,-1.0,0.55,0.9857142857142858,0.0,38.13608222237462,1.0,0.9714285714285714,0.9722222222222222,1.0,123.22474848292826,36.04724759836745,46.0979862889495,1.5032491340007166,1.9004373517914335,0.21039051562282446,128.03170236135287,18.457119064496617,176.77170946649912,2.560128760750727,740.4999838008422,moderate,0.8325140815399468
