case_id,split,seed,turns,voltage_v,velocity_um_s,particles_total,correct_fraction,live_recovery,dead_removal,live_purity,dead_outlet_purity,wall_loss,live_inner,live_outer,live_lost,dead_inner,dead_outer,dead_lost,mean_live_re_cm,mean_dead_re_cm,mean_live_radius_um,mean_dead_radius_um
turns_4_voltage_8_velocity_2000um_s,validation,101,4.0,8.0,2000.0,300,0.4033333333333333,0.2733333333333333,0.5333333333333333,0.3904761904761905,0.5128205128205128,0.13,41,76,33,64,80,6,0.9756856959834554,0.007400495655079073,11.361045174675134,10.987034574438024
turns_4_voltage_8_velocity_2000um_s,validation,103,4.0,8.0,2000.0,300,0.41,0.2866666666666667,0.5333333333333333,0.40186915887850466,0.5369127516778524,0.14666666666666667,43,69,38,64,80,6,0.9761709887964022,0.011303225736804909,11.667507875913408,11.072076893249614
turns_4_voltage_8_velocity_2000um_s,validation,107,4.0,8.0,2000.0,300,0.36666666666666664,0.2733333333333333,0.46,0.3867924528301887,0.4928571428571429,0.18,41,71,38,65,69,16,0.9755403523015771,0.009102586225129865,11.468732386463369,11.060191361432379
turns_4_voltage_8_velocity_3000um_s,design,7,4.0,8.0,3000.0,300,0.44,0.4,0.48,0.47619047619047616,0.4897959183673469,0.09,60,75,15,66,72,12,0.9751108403323504,0.008966798864010502,11.27937857788275,11.195764379522627
turns_4_voltage_8_velocity_3000um_s,design,11,4.0,8.0,3000.0,300,0.45,0.36,0.54,0.45,0.5192307692307693,0.08,54,75,21,66,81,3,0.9760314994035219,0.00865171377947936,11.47609769812327,10.947740190729146
turns_4_voltage_8_velocity_3000um_s,design,13,4.0,8.0,3000.0,300,0.4533333333333333,0.3933333333333333,0.5133333333333333,0.49166666666666664,0.5133333333333333,0.1,59,73,18,61,77,12,0.9758140198256784,0.011001799618470826,11.550899765397338,10.951785548346043
turns_4_voltage_8_velocity_3000um_s,validation,101,4.0,8.0,3000.0,300,0.43,0.32666666666666666,0.5333333333333333,0.44144144144144143,0.5031446540880503,0.1,49,79,22,62,80,8,0.9756856959834554,0.007400495655079073,11.361045174675134,10.987034574438024
turns_4_voltage_8_velocity_3000um_s,validation,103,4.0,8.0,3000.0,300,0.46,0.38,0.54,0.4789915966386555,0.525974025974026,0.09,57,73,20,62,81,7,0.9761709887964022,0.011303225736804909,11.667507875913408,11.072076893249614
turns_4_voltage_8_velocity_3000um_s,validation,107,4.0,8.0,3000.0,300,0.39666666666666667,0.32,0.47333333333333333,0.43243243243243246,0.4797297297297297,0.13666666666666666,48,77,25,63,71,16,0.9755403523015771,0.009102586225129865,11.468732386463369,11.060191361432379
turns_4_voltage_9_velocity_800um_s,design,7,4.0,9.0,800.0,300,0.3566666666666667,0.25333333333333335,0.46,0.3486238532110092,0.5948275862068966,0.25,38,47,65,71,69,10,0.9751108403323504,0.008966798864010502,11.27937857788275,11.195764379522627
turns_4_voltage_9_velocity_800um_s,design,11,4.0,9.0,800.0,300,0.39,0.24,0.54,0.34951456310679613,0.648,0.24,36,44,70,67,81,2,0.9760314994035219,0.00865171377947936,11.47609769812327,10.947740190729146
turns_4_voltage_9_velocity_800um_s,design,13,4.0,9.0,800.0,300,0.37333333333333335,0.23333333333333334,0.5133333333333333,0.35,0.6470588235294118,0.27,35,42,73,65,77,8,0.9758140198256784,0.011001799618470826,11.550899765397338,10.951785548346043
turns_4_voltage_9_velocity_800um_s,validation,101,4.0,9.0,800.0,300,0.37,0.22,0.52,0.33,0.6141732283464567,0.24333333333333335,33,49,68,67,78,5,0.9756856959834554,0.007400495655079073,11.361045174675134,10.987034574438024
turns_4_voltage_9_velocity_800um_s,validation,103,4.0,9.0,800.0,300,0.39,0.25333333333333335,0.5266666666666666,0.36538461538461536,0.6638655462184874,0.25666666666666665,38,40,72,66,79,5,0.9761709887964022,0.011303225736804909,11.667507875913408,11.072076893249614
turns_4_voltage_9_velocity_800um_s,validation,107,4.0,9.0,800.0,300,0.36666666666666664,0.24666666666666667,0.4866666666666667,0.36633663366336633,0.6134453781512605,0.26666666666666666,37,46,67,64,73,13,0.9755403523015771,0.009102586225129865,11.468732386463369,11.060191361432379
turns_4_voltage_9_velocity_1000um_s,design,7,4.0,9.0,1000.0,300,0.36,0.24,0.48,0.34615384615384615,0.5581395348837209,0.22333333333333333,36,57,57,68,72,10,0.9751108403323504,0.008966798864010502,11.27937857788275,11.195764379522627
turns_4_voltage_9_velocity_1000um_s,design,11,4.0,9.0,1000.0,300,0.39,0.23333333333333334,0.5466666666666666,0.3465346534653465,0.6119402985074627,0.21666666666666667,35,52,63,66,82,2,0.9760314994035219,0.00865171377947936,11.47609769812327,10.947740190729146
turns_4_voltage_9_velocity_1000um_s,design,13,4.0,9.0,1000.0,300,0.36666666666666664,0.21333333333333335,0.52,0.3333333333333333,0.5735294117647058,0.22666666666666666,32,58,60,64,78,8,0.9758140198256784,0.011001799618470826,11.550899765397338,10.951785548346043
