case_id,split,turns,voltage_v,velocity_um_s,mean_correct,min_correct,std_correct,mean_live_recovery,mean_dead_removal,mean_live_purity,mean_dead_outlet_purity,mean_wall_loss
turns_4_voltage_8_velocity_3000um_s,design,4.0,8.0,3000.0,0.4477777777777778,0.44,0.006938886664887101,0.3844444444444444,0.5111111111111111,0.47261904761904766,0.5074533403104832,0.09000000000000001
turns_4_voltage_9_velocity_3000um_s,design,4.0,9.0,3000.0,0.44333333333333336,0.44333333333333336,0.0,0.3755555555555556,0.5111111111111111,0.4665418017880316,0.5075306675608462,0.09444444444444444
turns_5_voltage_8_velocity_3000um_s,design,5.0,8.0,3000.0,0.43555555555555553,0.42333333333333334,0.0107151675122144,0.3644444444444444,0.5066666666666667,0.47394349043965417,0.5121245828698554,0.1211111111111111
turns_4_voltage_8_velocity_2000um_s,design,4.0,8.0,2000.0,0.4288888888888889,0.42333333333333334,0.00962250448649376,0.3466666666666667,0.5111111111111111,0.4422058422058422,0.5096841931411987,0.10777777777777779
turns_4_voltage_10_velocity_3000um_s,design,4.0,10.0,3000.0,0.42555555555555563,0.4166666666666667,0.010183501544346293,0.34,0.5111111111111111,0.4413702239789196,0.510900696789638,0.11555555555555556
turns_5_voltage_9_velocity_3000um_s,design,5.0,9.0,3000.0,0.4222222222222222,0.41333333333333333,0.010183501544346323,0.33777777777777773,0.5066666666666667,0.4538178430884281,0.5120967940116876,0.13444444444444445
turns_6_voltage_8_velocity_3000um_s,design,6.0,8.0,3000.0,0.42111111111111105,0.4033333333333333,0.016777409856157218,0.3444444444444445,0.4977777777777777,0.47646685146685147,0.5123204302107508,0.15333333333333335
turns_4_voltage_11_velocity_3000um_s,design,4.0,11.0,3000.0,0.4088888888888889,0.39,0.020092379244472353,0.30666666666666664,0.5111111111111111,0.41699544629038177,0.5165722437501022,0.13777777777777778
turns_4_voltage_9_velocity_2000um_s,design,4.0,9.0,2000.0,0.40666666666666673,0.38,0.030550504633038933,0.30444444444444446,0.508888888888889,0.40978366035837305,0.5164860038809619,0.1366666666666667
turns_4_voltage_8_velocity_1500um_s,design,4.0,8.0,1500.0,0.40444444444444444,0.37,0.0333888426695927,0.29555555555555557,0.5133333333333333,0.40257614799237657,0.5221684824694918,0.14222222222222222
turns_5_voltage_8_velocity_2000um_s,design,5.0,8.0,2000.0,0.4033333333333333,0.38333333333333336,0.021858128414340004,0.2955555555555555,0.5111111111111112,0.4196920405880948,0.5138709946143288,0.1511111111111111
turns_6_voltage_9_velocity_3000um_s,design,6.0,9.0,3000.0,0.40111111111111114,0.39,0.00962250448649376,0.3066666666666667,0.4955555555555555,0.4461656763625732,0.5171318043658469,0.17777777777777778
turns_5_voltage_10_velocity_3000um_s,design,5.0,10.0,3000.0,0.39999999999999997,0.38666666666666666,0.01527525231651948,0.2933333333333333,0.5066666666666667,0.4204374057315234,0.5143445462594398,0.15888888888888889
turns_4_voltage_12_velocity_3000um_s,design,4.0,12.0,3000.0,0.3988888888888889,0.36333333333333334,0.033554819712314436,0.28444444444444444,0.5133333333333333,0.398066707852772,0.5259739257887834,0.15555555555555556
turns_4_voltage_9_velocity_1500um_s,design,4.0,9.0,1500.0,0.39444444444444443,0.36666666666666664,0.024570382652773323,0.27555555555555555,0.5133333333333333,0.38503826269927416,0.5418755639615385,0.16888888888888887
turns_4_voltage_10_velocity_2000um_s,design,4.0,10.0,2000.0,0.39222222222222225,0.36,0.03168128317640724,0.2733333333333333,0.5111111111111111,0.3838836088836089,0.5259849369438411,0.15888888888888889
turns_5_voltage_11_velocity_3000um_s,design,5.0,11.0,3000.0,0.39111111111111113,0.36,0.027755546659548446,0.27555555555555555,0.5066666666666667,0.40488673139158576,0.5262552762552762,0.17888888888888888
turns_4_voltage_13_velocity_3000um_s,design,4.0,13.0,3000.0,0.39111111111111113,0.36666666666666664,0.02341256389522832,0.2688888888888889,0.5133333333333333,0.38541142952907653,0.5393943570096377,0.17555555555555555
turns_5_voltage_9_velocity_2000um_s,design,5.0,9.0,2000.0,0.38888888888888884,0.35333333333333333,0.03501322501464163,0.26666666666666666,0.5111111111111112,0.39448717948717943,0.5293074773925838,0.18000000000000002
turns_4_voltage_8_velocity_1000um_s,design,4.0,8.0,1000.0,0.3844444444444444,0.35333333333333333,0.027755546659548436,0.25333333333333335,0.5155555555555555,0.36392683121655084,0.5550188420692018,0.1877777777777778
turns_4_voltage_11_velocity_2000um_s,design,4.0,11.0,2000.0,0.3833333333333333,0.35,0.029059326290271168,0.25333333333333335,0.5133333333333333,0.36743100134189244,0.5470369388038213,0.18666666666666668
turns_4_voltage_10_velocity_1500um_s,design,4.0,10.0,1500.0,0.38222222222222224,0.3466666666666667,0.03150543750835072,0.2511111111111111,0.5133333333333333,0.3628157201054398,0.5551063632930986,0.1922222222222222
turns_4_voltage_14_velocity_3000um_s,design,4.0,14.0,3000.0,0.37999999999999995,0.35,0.027284509239574838,0.24666666666666667,0.5133333333333333,0.36492063492063487,0.5526378896882495,0.19777777777777775
turns_5_voltage_8_velocity_1500um_s,design,5.0,8.0,1500.0,0.3788888888888889,0.35,0.026943012562182542,0.2577777777777777,0.5,0.38010926878851414,0.5266976440857586,0.18666666666666668
turns_4_voltage_12_velocity_1500um_s,design,4.0,12.0,1500.0,0.3788888888888889,0.37,0.008388704928078609,0.24,0.5177777777777778,0.35502246181491465,0.6127274428407519,0.24
turns_6_voltage_8_velocity_2000um_s,design,6.0,8.0,2000.0,0.37777777777777777,0.35,0.024570382652773323,0.25555555555555554,0.5,0.3951890034364261,0.5155810045840878,0.1922222222222222
