stage,sample_id,seed,family,equation,shape_class,inlet_kind,frequency_hz,voltage_v,effective_voltage_v,velocity_um_s,turns,radius_um,pitch_um_per_turn,width_um,eccentricity,curvature_power,inlet_length_um,inlet_offset_ratio,inlet_spread_ratio,dep_start_fraction,dep_end_fraction,electrode_gap_um,electrode_coverage,field_gain,dean_scale,target_correct,wall_loss,distribution_gap_um,live_recovery,dead_removal,live_outlet_purity,dead_outlet_purity,length_mm,footprint_mm2,residence_s,flow_uL_min,pressure_drop_kPa,reynolds,effective_field_kV_m,active_joule_power_mW,adiabatic_delta_c_proxy,steady_substrate_delta_c_proxy,thermal_risk,manufacturable_gap_ok,manufacturable_bend_ok,manufacturable_no_intersection_ok,self_intersects,channel_overlap_flag,min_nonlocal_clearance_um,mean_curvature_1_m,p95_curvature_1_m,min_curvature_radius_um,smoothness_index,path_samples_valid,short_channel_score,v11_score
nonintersecting_initial,0,111000,elliptic_archimedean_short,"x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral,major_axis_prefocus,1294179.7978550552,15.579027675089396,16.63543071892416,1093.458165797393,0.9051617828359837,1082.65689183893,97.59137447551417,100.13547193585654,0.8574682977393522,1.0,755.6271787974041,-0.6812333662569489,0.12366842651690693,0.32107417471107524,0.7575399729733363,53.69569805014396,0.435578250364527,1.0678093052959867,1.0238074443072411,0.5,0.0,17.106279096554776,1.0,0.0,0.5,0.0,6.755268569726466,4.723080191764387,6.177893934149971,0.328481848422714,0.051727960339793266,0.07271130947152504,309.80937622580285,2.833786333767002,124.20398667133227,2.9999345963977726,low,True,True,True,False,False,114.59998161868154,844.0166887569943,1201.8914363956626,832.0219029090412,0.3899218964814324,2014,0.0,0.5
nonintersecting_initial,1,111001,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1657591.8076043958,15.441768308114286,17.786063970317212,1565.5592393549223,1.307277673995988,1056.8524254861466,70.46142081539037,95.8049497221346,1.0,0.8630577889114147,704.4395298107676,-0.518913380999918,0.12399821265862648,0.3293345303528962,0.7667195587708149,34.63764627914531,0.47760832119282665,1.1518152335552823,1.093060533897578,0.5111111111111111,0.0,16.53405283392472,0.022222222222222223,1.0,1.0,0.5056179775280899,8.542401440624545,4.397628403011518,5.456453659424847,0.44996497264026486,0.09563883208672387,0.1025605506025424,513.4893932162439,9.437639061936771,301.97046423221855,10.730373507086034,moderate,True,True,True,False,False,139.07986480201123,937.761999780867,1143.5036712951874,874.5052815329852,0.35168397103585125,2014,0.0013007011188060867,0.48062162789320234
nonintersecting_initial,2,111002,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1766364.6569035905,20.105090196143472,20.967464914266568,2734.542585847197,0.9804479351491204,1271.9663705390224,61.68601481448436,107.05075290415128,1.0,1.2910986009479408,558.5360043942651,-0.7113178055156701,0.3988845828061711,0.21417971442740477,0.7806681517848763,60.05790365541715,0.3045480872808563,1.0428933523654877,1.0797028146070677,0.7333333333333333,0.0,14.012701795526855,0.4666666666666667,1.0,1.0,0.6521739130434783,7.57852037998686,6.033103665622161,2.7714033122797153,0.8782045279902215,0.1409487669114664,0.18583587326928527,349.1208257046003,5.601630220049295,91.83295826459715,4.642411709223986,low,True,True,True,False,False,194.2733928327878,785.5637410647493,966.0396486583375,1035.1542003362156,0.35268504440019527,2014,0.030788771637998532,1.1951649079033113
nonintersecting_initial,3,111003,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1416935.3324127526,12.858467083939196,15.528823132521126,1560.8979728933227,1.104769730094946,1247.225773714662,93.98996643484831,158.98227374991706,1.0,1.0806762271806034,702.2448569888774,-0.8148344773973266,0.23797115112175107,0.46012445324273377,0.804593187317201,53.765617571116586,0.5895594591182046,1.207672969969906,0.9111307474057452,0.5,0.0,5.34360615632076,1.0,0.0,0.5,0.0,8.36611476581572,6.085797740267686,5.359808847921086,0.7444653264666506,0.07816970535192723,0.11838833938222877,288.82441668192354,3.8218635510287924,73.91124413827444,3.1399856798894263,low,True,True,True,False,False,235.84749731119678,811.3664970969672,1006.2281091740942,993.810440080822,0.3540398987037897,2014,0.0,0.5
nonintersecting_initial,4,111004,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1238050.5488956668,9.77448510546974,10.732225244036364,2817.9282818276547,1.632313824398779,1081.860242610562,60.44556890260677,97.86867178025713,1.0,0.7925169654751123,444.52519463299217,-0.37973741844657344,0.252641441434856,0.1953655438137715,0.8320891198540958,53.200392537043214,0.6483311806561287,1.0979836920546002,1.698971165840764,0.5222222222222223,0.0,4.370182180789385,0.044444444444444446,1.0,1.0,0.5113636363636364,10.394867176483,4.655246333618849,3.6888331202457314,0.8273606943434842,0.2073340760102811,0.18594847313483664,201.73206873546206,2.635247057664464,45.85706578787914,2.830405599198337,low,True,True,True,False,False,116.65808413315222,922.9366498556586,1130.4334731432061,884.6164093314295,0.35216163755109,2014,0.002137807231678445,0.5542893306973989
nonintersecting_initial,5,111005,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1715035.8059403766,9.701195651450675,10.603491381223376,5097.892417800291,1.05172990265686,1300.9481669352783,55.13361895256818,125.40596162330978,1.0,1.2796357773325528,401.0515132112191,-0.7403628597349129,0.36052141409897753,0.417192138141734,0.7367544767178889,69.73545511971622,0.6472612393532615,1.0930087137906321,1.313717776793432,0.5,0.0,2.8403286379902895,1.0,0.0,0.5,0.0,8.053700862665071,6.382599151316256,1.579809890562617,1.9179183027192752,0.26317971761736914,0.36337885936426634,152.05308925022652,0.7465739228511383,5.604314812032722,0.5848510184892118,low,True,True,True,False,False,139.4961785082501,773.4257068831782,955.8610559535734,1046.1771549029093,0.3533191037753041,2014,0.0,0.5
nonintersecting_initial,6,111006,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1703626.0175638392,17.94758129346566,19.43597198138725,4142.911087438407,0.9870572182538062,1540.7037037179794,63.006688276145496,114.49910732440844,1.0,1.1698380332773035,595.0716354001476,-0.7186089629812096,0.33866586956931954,0.30278321233128946,0.8258366997060529,63.711886492558,0.5779689751008565,1.0829298758191714,0.8283742812684458,0.5,0.0,8.529518706599625,1.0,0.0,0.5,0.0,9.236999106076949,8.876776368733756,2.229591442134534,1.4230788637082756,0.253399895313518,0.28750097800817,305.0603749373754,5.145803497061246,52.05998513124648,2.8984640838683644,low,True,True,True,False,False,206.9814384000513,642.0632369089507,783.2085141242869,1276.7991945517979,0.35158287493019713,2014,0.0,0.5
nonintersecting_initial,7,111007,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1152924.2560227623,18.842799574398605,19.845147507832493,1838.9741271913483,1.2634048977607388,1615.5192014276279,86.16529377417231,109.42768854897636,1.0,0.9096997586597192,758.796723686503,-0.6883724786893413,0.20224669747430252,0.4283229932737815,0.658984237541459,59.10562884931317,0.34711309604080254,1.0531952765021055,0.9372144599159632,0.5,0.0,13.879018930118828,1.0,0.0,0.5,0.0,12.377282901998395,10.011641098347683,6.7305367264204685,0.6037040641197615,0.153418455079679,0.1258445040518584,335.7573194665892,3.5289481256360684,84.1590811489674,1.7624224095580516,low,True,True,True,False,False,217.1710491129119,611.3112785844229,743.6619456373433,1344.6970170605764,0.3512849266411795,2014,0.0,0.5
nonintersecting_initial,8,111008,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1777152.7724346253,18.442519061864907,20.26806519622339,5023.299155524535,1.196531593326438,1093.6384891801033,118.03575971975107,137.38275344278557,1.0,1.0423917168577064,563.1861205969286,-0.4756761612464282,0.26830324306022,0.4152815469682874,0.6303903078880405,71.61861252642176,0.5988758751061124,1.0989857257696056,1.0990611488006332,0.5,0.0,0.17054291053947068,1.0,0.0,0.5,0.0,7.471678123212252,4.443127402511613,1.4874045705589787,2.0703440080583406,0.23375204787649298,0.36718658078359684,282.999969997269,1.7874157158302852,12.429763592808142,2.0114387388710644,low,True,True,True,False,False,195.89082455545338,978.77524677956,1262.142930828141,792.303292737108,0.36152232836734294,2014,0.0,0.5
nonintersecting_initial,9,111009,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1636501.6717966013,14.375166824617455,15.960503881275455,1588.4416940968883,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.48002269110239293,0.16963066435447183,0.2335934765508016,0.8799601523090045,48.14336758918336,0.6152455414719535,1.1102830371292187,1.6863615959255893,0.9111111111111111,0.0,15.744611046004328,0.8222222222222222,1.0,1.0,0.8490566037735849,7.079656095729848,3.6733717016350447,4.456982035941206,0.45788224983173276,0.08030560107958058,0.10416416823984513,331.5203044678866,4.829765101547951,151.86301271099038,6.574021762347363,moderate,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.05806936178143965,1.7321515378327057
