sample_id,family,equation,shape_class,inlet_kind,mean_target_correct,std_target_correct,mean_wall_loss,mean_live_recovery,mean_dead_removal,mean_live_outlet_purity,mean_dead_outlet_purity,length_mm,footprint_mm2,residence_s,flow_uL_min,active_joule_power_mW,steady_substrate_delta_c_proxy,thermal_risk,manufacturable_gap_ok,manufacturable_bend_ok,manufacturable_no_intersection_ok,self_intersects,channel_overlap_flag,min_nonlocal_clearance_um,min_curvature_radius_um,short_channel_score,v11_score
146,short_circular_c_arc,"partial circular spiral arc r(theta)=a+b theta, theta<1.2 turns",short_c_arc,dual_side_electrode_entry,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.398295690093815,4.969782521322479,1.8735213248713554,0.6596487738902304,15.258477431627577,15.35125266162274,high,True,True,True,False,False,153.51323190437859,1109.1178439956404,0.11368039696060886,2.5241720446826226
150,elliptic_logarithmic_spiral,"x=a exp(k theta) cos(theta), y=e a exp(k theta) sin(theta)",elliptic_logarithmic_spiral,major_axis_prefocus,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.556703197792613,2.9170219552147323,3.6814182136617504,0.39896511505024757,15.632241406106838,26.79486415616658,high,True,True,True,False,False,119.90810947785812,355.01522538495976,0.10972845460775527,2.463397853491901
141,elliptic_s_bend_prefocus_spiral,"S-bend inlet + x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral_with_s_bend,s_bend_prefocus,0.95,0.0,0.0,0.9,1.0,1.0,0.9090909090909091,5.101910843357773,3.5079880108440173,5.294310159334675,0.2639493466106955,1.855649987507164,2.6448921458267707,low,True,True,True,False,False,128.8781479872867,378.8102666074455,0.08820224692594526,2.273033703889179
50,logarithmic_spiral_short,r(theta)=a exp(k theta),logarithmic_spiral,tangential,0.8444444444444444,0.0,0.0,0.9555555555555556,0.7333333333333333,0.7818181818181819,0.9428571428571428,4.988705910682615,3.8941341298367926,4.043894756174037,0.3911406374576176,2.2976372689576112,2.950126000223197,low,True,True,True,False,False,163.68570402369656,887.9913043637199,0.06904484862634715,1.8801171738396518
9,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,0.9111111111111111,0.0,0.0,0.8222222222222222,1.0,1.0,0.8490566037735849,7.079656095729848,3.6733717016350447,4.456982035941206,0.45788224983173276,4.829765101547951,6.574021762347363,moderate,True,True,True,False,False,238.36101330665636,716.2199236032776,0.05806936178143965,1.7321515378327057
121,short_circular_c_arc,"partial circular spiral arc r(theta)=a+b theta, theta<1.2 turns",short_c_arc,dual_side_electrode_entry,0.7888888888888889,0.0,0.0,0.9555555555555556,0.6222222222222222,0.7166666666666667,0.9333333333333333,3.9267949786840046,4.469302210817996,2.6942910749509177,0.49270327026117255,21.80177139622046,24.390576389586084,high,True,True,True,False,False,150.07215336379505,1176.6213765993466,0.07356862032702935,1.6852111082094474
95,elliptic_s_bend_prefocus_spiral,"S-bend inlet + x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral_with_s_bend,s_bend_prefocus,0.8111111111111111,0.0,0.0,0.8444444444444444,0.7777777777777778,0.7916666666666666,0.8333333333333334,5.493331605599624,4.183383419249552,4.354485275372754,0.44392507983684365,2.2655893717366373,2.7078433228373036,low,True,True,True,False,False,132.1565306395513,362.6044843699282,0.056634322019442664,1.660625941402751
115,short_circular_c_arc,"partial circular spiral arc r(theta)=a+b theta, theta<1.2 turns",short_c_arc,dual_side_electrode_entry,0.7444444444444445,0.0,0.0,0.4888888888888889,1.0,1.0,0.6617647058823529,3.8070149219329656,3.605499398235963,2.2305157241658846,0.4636049189206174,10.904527884621809,15.122076972134552,high,True,True,True,False,False,128.49963247149776,901.507060006547,0.06420895359147444,1.5439606367780738
133,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1.0,0.0,0.0,1.0,1.0,1.0,1.0,15.683212777820035,8.802428904164003,7.789161560176226,0.5773301225710232,8.517665458481886,4.838247233358847,low,True,True,True,False,False,241.6469927465078,1039.345641306181,0.03188122274966035,1.4782183412449053
48,logarithmic_spiral_short,r(theta)=a exp(k theta),logarithmic_spiral,tangential,0.7777777777777778,0.0,0.0,1.0,0.5555555555555556,0.6923076923076923,1.0,5.966926608826063,3.8112535313207787,6.3353141579510055,0.26144542805418014,6.235284019308044,8.180096086584962,moderate,True,True,True,False,False,122.53078547296613,907.2160324264617,0.04655290671195769,1.426071378457143
157,superellipse_oval_spiral,"x=r sign(cos(theta))|cos(theta)|^q, y=e r sign(sin(theta))|sin(theta)|^q",superellipse_oval,rounded_oval_entry,0.78125,0.0,0.0,0.575,0.9875,0.9787234042553191,0.6991150442477876,6.135430449850878,4.233411211650942,7.113937118501359,0.3797407289641572,6.625485669051832,7.8252328179430855,moderate,True,True,True,False,False,181.23785500475427,617.8345040154496,0.04584030449026373,1.4188545673539559
156,fermat_spiral_short,r(theta)=a sqrt(1+k theta),fermat_spiral,tangential,0.89375,0.0,0.0,0.7875,1.0,1.0,0.8247422680412371,12.865547123882283,7.315861783112551,5.683100022545089,0.6430131837146438,3.9504872780749483,2.6999466332141417,low,True,True,True,False,False,141.9744287451485,901.1753682311124,0.030604994580376833,1.3528249187056525
154,fermat_spiral_short,r(theta)=a sqrt(1+k theta),fermat_spiral,tangential,0.7625,0.0,0.0,0.5875,0.9375,0.9038461538461539,0.6944444444444444,7.081785323407428,3.0781212146613144,6.2596320084630035,0.34174297124028374,1.2816041880970075,2.0817961651292904,low,True,True,True,False,False,133.96788398914507,614.8834733812698,0.0370669242305833,1.3185038634587494
128,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1.0,0.0,0.0,1.0,1.0,1.0,1.0,13.82182879894771,8.183593461949654,11.88894317473746,0.3904605953820284,30.355506252848357,18.54656294572121,high,True,True,True,False,False,136.57803865179133,1128.357550003899,0.03617466308351802,1.301197921241377
151,fermat_spiral_short,r(theta)=a sqrt(1+k theta),fermat_spiral,tangential,0.9,0.0,0.0,1.0,0.8,0.8333333333333334,1.0,9.628820032419759,5.6385502605353475,7.070437819186402,0.38613050471703875,35.55184428289162,31.52569600356473,high,True,True,True,False,False,120.27137298953195,967.1017028440529,0.04154195411828447,1.2609219346427007
2,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,0.7333333333333333,0.0,0.0,0.4666666666666667,1.0,1.0,0.6521739130434783,7.57852037998686,6.033103665622161,2.7714033122797153,0.8782045279902215,5.601630220049295,4.642411709223986,low,True,True,True,False,False,194.2733928327878,1035.1542003362156,0.030788771637998532,1.1951649079033113
106,elliptic_s_bend_prefocus_spiral,"S-bend inlet + x=(a+b theta) cos(theta), y=e(a+b theta) sin(theta)",elliptic_spiral_with_s_bend,s_bend_prefocus,0.6555555555555556,0.0,0.0,0.3333333333333333,0.9777777777777777,0.9375,0.5945945945945946,3.049605254169663,1.2819719989563452,2.1218630476400238,0.38824757891786005,0.3745577027867046,1.4608653819725876,low,True,True,False,False,True,62.223242769272666,240.7994577628352,0.05100842325178566,1.1706819043323404
129,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,0.925,0.0,0.0,1.0,0.85,0.8695652173913043,1.0,13.850231700581837,8.709371265591708,9.160018296803855,0.44932824103646885,34.72085439271172,19.93304300270452,high,True,True,True,False,False,203.9533988519423,1086.9686892305942,0.030685407232728543,1.1263976909200815
130,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,0.725,0.0,0.0,0.45,1.0,1.0,0.6451612903225806,9.402800135097124,7.321068473595588,8.048405194138413,0.3472987888321189,3.368461206190128,2.300525680328584,low,True,True,True,False,False,143.31762721489343,1154.9129700694598,0.023929042069091678,1.083935631036375
76,fermat_spiral_short,r(theta)=a sqrt(1+k theta),fermat_spiral,tangential,0.6222222222222222,0.0,0.0,0.5333333333333333,0.7111111111111111,0.6486486486486487,0.6037735849056604,4.962200743367222,2.0987766991773116,2.8104173014824214,0.6096826072075401,1.7286036383890224,4.1181218541891775,low,True,True,True,False,False,138.419915803027,484.98228391577635,0.024630648485068213,0.9916819494982454
