feature,importance
width_um,0.17440101369211167
velocity_um_s,0.12193384416929003
radius_um,0.08620815555972605
inlet_offset_ratio,0.08360394455418296
field_gain,0.08191549498604125
eccentricity,0.05079730589319917
voltage_v,0.04256840963609144
dep_end_fraction,0.04196000727499481
electrode_gap_um,0.040970544053497676
turns,0.040699775839420846
dep_start_fraction,0.033849313124435905
log_frequency_hz,0.032925068153435516
electrode_coverage,0.02805366234103186
pitch_um_per_rad,0.027757106226991502
dean_scale,0.027189282899267506
inlet_spread_ratio,0.026535617343442237
family_id,0.024254172002573394
inlet_length_um,0.02020543587680051
curvature_power,0.01417184637346565
