index,progress,theta_rad,x_m,y_m,channel_width_m,electrode_gap_m,alpha_dep
0,0.0,0.0,0.0008627145444797876,-0.0011359539446402149,9.130106674509231e-05,4.406095667514144e-05,0.0005011186955519612
1,0.0005586592178770949,0.0,0.0008619027121077174,-0.001129982647119721,9.130106674509231e-05,4.406095667514144e-05,0.0005100273291366107
2,0.0011173184357541898,0.0,0.0008610934264307287,-0.0011240114129949107,9.130106674509231e-05,4.406095667514144e-05,0.0005190942536314147
3,0.0016759776536312849,0.0,0.0008602877209018976,-0.0011180402679918581,9.130106674509231e-05,4.406095667514144e-05,0.0005283222786398942
4,0.0022346368715083797,0.0,0.0008594866234711955,-0.0011120692376996454,9.130106674509231e-05,4.406095667514144e-05,0.0005377142635291376
5,0.002793296089385475,0.0,0.0008586911554775899,-0.0011060983475427862,9.130106674509231e-05,4.406095667514144e-05,0.0005472731183074124
6,0.0033519553072625698,0.0,0.0008579023305500583,-0.001100127622753866,9.130106674509231e-05,4.406095667514144e-05,0.0005570018045171176
7,0.003910614525139665,0.0,0.0008571211535186962,-0.0010941570883464377,9.130106674509231e-05,4.406095667514144e-05,0.0005669033361433447
8,0.004469273743016759,0.0,0.0008563486193370881,-0.0010881867690881945,9.130106674509231e-05,4.406095667514144e-05,0.0005769807805383066
9,0.005027932960893855,0.0,0.0008555857120170989,-0.0010822166894744539,9.130106674509231e-05,4.406095667514144e-05,0.0005872372593619087
10,0.00558659217877095,0.0,0.0008548334035772241,-0.0010762468737019791,9.130106674509231e-05,4.406095667514144e-05,0.0005976759495387476
11,0.006145251396648044,0.0,0.0008540926530056236,-0.0010702773456431653,9.130106674509231e-05,4.406095667514144e-05,0.000608300084231802
12,0.0067039106145251395,0.0,0.0008533644052389464,-0.001064308128820618,9.130106674509231e-05,4.406095667514144e-05,0.0006191129538331174
13,0.007262569832402235,0.0,0.0008526495901580292,-0.0010583392463821542,9.130106674509231e-05,4.406095667514144e-05,0.0006301179069717649
14,0.00782122905027933,0.0,0.0008519491216015417,-0.001052370721076248,9.130106674509231e-05,4.406095667514144e-05,0.0006413183515393706
15,0.008379888268156424,0.0,0.0008512638963986184,-0.0010464025752279507,9.130106674509231e-05,4.406095667514144e-05,0.000652717755733522
16,0.008938547486033519,0.0,0.0008505947934215064,-0.0010404348307153054,9.130106674509231e-05,4.406095667514144e-05,0.0006643196491193472
17,0.009497206703910615,0.0,0.0008499426726592235,-0.0010344675089462903,9.130106674509231e-05,4.406095667514144e-05,0.0006761276237095788
18,0.01005586592178771,0.0,0.000849308374313207,-0.0010285006308363054,9.130106674509231e-05,4.406095667514144e-05,0.0006881453350634259
19,0.010614525139664804,0.0,0.0008486927179159013,-0.0010225342167862299,9.130106674509231e-05,4.406095667514144e-05,0.0007003765034045606
20,0.0111731843575419,0.0,0.0008480965014732071,-0.0010165682866610762,9.130106674509231e-05,4.406095667514144e-05,0.0007128249147585498
21,0.011731843575418994,0.0,0.0008475205006316919,-0.0010106028597692588,9.130106674509231e-05,4.406095667514144e-05,0.00072549442211007
22,0.012290502793296089,0.0,0.000846965467871424,-0.001004637954842502,9.130106674509231e-05,4.406095667514144e-05,0.0007383889465802273
23,0.012849162011173185,0.0,0.0008464321317252756,-0.0009986735900164043,9.130106674509231e-05,4.406095667514144e-05,0.0007515124786243295
24,0.013407821229050279,0.0,0.0008459211960254984,-0.0009927097828116836,9.130106674509231e-05,4.406095667514144e-05,0.0007648690792504613
25,0.013966480446927373,0.0,0.0008454333391783498,-0.000986746550116121,9.130106674509231e-05,4.406095667514144e-05,0.0007784628812592093
26,0.01452513966480447,0.0,0.0008449692134675187,-0.00098078390816722,9.130106674509231e-05,4.406095667514144e-05,0.0007922980905048894
27,0.015083798882681564,0.0,0.0008445294443870595,-0.0009748218725356017,9.130106674509231e-05,4.406095667514144e-05,0.0008063789871786551
28,0.01564245810055866,0.0,0.0008441146300045173,-0.0009688604581091497,9.130106674509231e-05,4.406095667514144e-05,0.0008207099271138361
29,0.016201117318435754,0.0,0.0008437253403548904,-0.0009628996790779255,9.130106674509231e-05,4.406095667514144e-05,0.0008352953431139009
30,0.01675977653631285,0.0,0.0008433621168660375,-0.0009569395489198633,9.130106674509231e-05,4.406095667514144e-05,0.0008501397463034108
31,0.017318435754189943,0.0,0.0008430254718161124,-0.0009509800803872648,9.130106674509231e-05,4.406095667514144e-05,0.0008652477275023536
32,0.017877094972067038,0.0,0.000842715887823558,-0.000945021285494103,9.130106674509231e-05,4.406095667514144e-05,0.000880623958624262
33,0.018435754189944135,0.0,0.000842433817370172,-0.0009390631755041502,9.130106674509231e-05,4.406095667514144e-05,0.0008962731940984985
34,0.01899441340782123,0.0,0.0008421796823577053,-0.0009331057609199396,9.130106674509231e-05,4.406095667514144e-05,0.0009122002723171214
35,0.019553072625698324,0.0,0.0008419538736984246,-0.000927149051472574,9.130106674509231e-05,4.406095667514144e-05,0.0009284101171067461
36,0.02011173184357542,0.0,0.0008417567509400337,-0.0009211930561123871,9.130106674509231e-05,4.406095667514144e-05,0.0009449077392258151
37,0.020670391061452513,0.0,0.0008415886419253035,-0.0009152377830004731,9.130106674509231e-05,4.406095667514144e-05,0.0009616982378876938
38,0.021229050279329607,0.0,0.0008414498424867287,-0.0009092832395010829,9.130106674509231e-05,4.406095667514144e-05,0.000978786802310047
39,0.021787709497206705,0.0,0.0008413406161764887,-0.0009033294321749047,9.130106674509231e-05,4.406095667514144e-05,0.000996178713290901
40,0.0223463687150838,0.0,0.0008412611940319488,-0.000897376366773224,9.130106674509231e-05,4.406095667514144e-05,0.0010138793448118688
41,0.022905027932960894,0.0,0.0008412117743769017,-0.000891424048232978,9.130106674509231e-05,4.406095667514144e-05,0.0010318941656689623
42,0.02346368715083799,0.0,0.0008411925226587092,-0.0008854724806726996,9.130106674509231e-05,4.406095667514144e-05,0.0010502287411314644
43,0.024022346368715083,0.0,0.000841203571321463,-0.0008795216673893616,9.130106674509231e-05,4.406095667514144e-05,0.0010688887346293292
44,0.024581005586592177,0.0,0.0008412450197152482,-0.000873571610856117,9.130106674509231e-05,4.406095667514144e-05,0.0010878799094695697
45,0.025139664804469275,0.0,0.0008413169340415461,-0.00086762231272094,9.130106674509231e-05,4.406095667514144e-05,0.0011072081305821184
46,0.02569832402234637,0.0,0.0008414193473347835,-0.0008616737738061671,9.130106674509231e-05,4.406095667514144e-05,0.0011268793662956576
47,0.026256983240223464,0.0,0.0008415522594799868,-0.0008557259941089364,9.130106674509231e-05,4.406095667514144e-05,0.001146899690143895
48,0.026815642458100558,0.0,0.0008417156372664661,-0.0008497789728025236,9.130106674509231e-05,4.406095667514144e-05,0.0011672752827027967
49,0.027374301675977653,0.0,0.000841909414477413,-0.0008438327082385728,9.130106674509231e-05,4.406095667514144e-05,0.001188012433459291
50,0.027932960893854747,0.0,0.0008421334920152555,-0.0008378871979502166,9.130106674509231e-05,4.406095667514144e-05,0.0012091175427119487
51,0.028491620111731845,0.0,0.0008423877380625795,-0.000831942438656083,9.130106674509231e-05,4.406095667514144e-05,0.0012305971235041658
52,0.02905027932960894,0.0,0.0008426719882783809,-0.0008259984262651792,9.130106674509231e-05,4.406095667514144e-05,0.0012524578035903954
53,0.029608938547486034,0.0,0.000842986046029381,-0.0008200551558826512,9.130106674509231e-05,4.406095667514144e-05,0.0012747063274359393
54,0.030167597765363128,0.0,0.000843329682656095,-0.0008141126218164062,9.130106674509231e-05,4.406095667514144e-05,0.001297349558250885
55,0.030726256983240222,0.0,0.0008437026377733086,-0.000808170817584593,9.130106674509231e-05,4.406095667514144e-05,0.0013203944800587056
56,0.03128491620111732,0.0,0.0008441046196045819,-0.0008022297359239285,9.130106674509231e-05,4.406095667514144e-05,0.0013438481998001089
57,0.031843575418994415,0.0,0.0008445353053503576,-0.0007962893687988617,9.130106674509231e-05,4.406095667514144e-05,0.0013677179494727112
58,0.03240223463687151,0.0,0.0008449943415892234,-0.0007903497074115616,9.130106674509231e-05,4.406095667514144e-05,0.0013920110883070959
59,0.0329608938547486,0.0,0.0008454813447118334,-0.0007844107422127202,9.130106674509231e-05,4.406095667514144e-05,0.001416735104979857
60,0.0335195530726257,0.0,0.000845995901386967,-0.0007784724629131527,9.130106674509231e-05,4.406095667514144e-05,0.0014418976198642337
61,0.03407821229050279,0.0,0.0008465375690591647,-0.0007725348584961866,9.130106674509231e-05,4.406095667514144e-05,0.0014675063873189227
