stage,sample_id,seed,family,visual_shape,frequency_hz,voltage_v,field_gain,effective_voltage_v,velocity_um_s,turns,inner_radius_um,pitch_um,channel_width_um,outlet_split_ratio,inlet_offset_ratio,inlet_spread_ratio,dep_start_fraction,dep_end_fraction,dean_scale,length_factor,target_correct,wall_loss,distribution_gap_um,live_recovery,dead_removal,live_outlet_purity,dead_outlet_purity,length_mm,footprint_mm2,residence_s,flow_uL_min,pressure_drop_kPa,reynolds,effective_field_kV_m,active_joule_power_mW,adiabatic_delta_c_proxy,steady_substrate_delta_c_proxy,thermal_risk,short_channel_score,v8_score
lhs_real,0,10000,asymmetric_c_spiral,asymmetric_spiral,1125059.4106554035,18.837067069177664,1.3540931839656076,25.50714412427648,3369.551942468363,4.315499814672295,676.586284502857,246.76860456037855,212.63109457174045,0.4753659576561082,-0.3986309065167879,0.46400406826263174,0.4151944183654147,0.7496641450491979,1.0437656908298594,0.5431819669474303,0.5454545454545454,0.0,8.875407230349886,0.2,0.8909090909090909,0.6470588235294118,0.5268817204301075,17.81750138068024,8.366990992773449,5.287795435386,2.1494145532301467,0.33829373679107533,0.2719868735859179,119.95961444703245,1.8234779402872416,12.214062528578534,1.0896856121048628,low,0.002551117829789108,0.5709657237524365
lhs_real,1,10001,asymmetric_c_spiral,asymmetric_spiral,1341381.2177192895,22.889106203830167,1.3925460140024715,31.87413360822294,3172.225162770114,2.24959522634523,901.1282374126206,301.2816078533324,136.64212662228869,0.3486683249066222,-0.39610457411191924,0.19732968568567458,0.3883111417425055,0.9106666353782916,0.9760396730256031,0.711276583861929,0.8272727272727273,0.0,17.43121959087196,0.9818181818181818,0.6727272727272727,0.75,0.9736842105263158,12.476148250983464,6.648794742755532,3.9329327556587415,1.3003787770969328,0.24688438671248575,0.23154430428405712,233.26725363643249,4.845502905157326,53.64741441950014,3.643895692852409,low,0.02623187226449711,1.0895914499176984
lhs_real,2,10002,asymmetric_c_spiral,asymmetric_spiral,1709012.140153649,16.419393696259036,1.2202831966863954,20.036310227323426,4348.761744829515,4.173919130423924,821.7981616278718,198.95754011719956,175.68988370469168,0.42421534018750473,-0.7114781513186743,0.48231931667771066,0.2742315657527415,0.9319470954516773,0.7899643145379237,0.7273898432570469,0.5,0.0,6.762815409241021,1.0,0.0,0.5,0.0,23.605537401055358,7.419605300906365,5.428105466831172,2.292100335625529,0.6003889738660708,0.3375168316669432,114.0436193867682,3.547649677785697,22.28368000034576,2.3907266855235028,low,0.0,0.5
lhs_real,3,10003,asymmetric_c_spiral,asymmetric_spiral,986189.0604243263,12.022372354113722,1.1025365455066964,13.255104884099753,4706.603734632658,2.3853883790850836,717.3917205140647,205.58889419206105,143.17998285556456,0.5018478291926933,-0.6376555007016954,0.21899766540063587,0.5483297138635336,0.8117866370714978,0.9689282642207547,0.8194940611317845,0.5,0.0,1.569531840725503,1.0,0.0,0.5,0.0,11.83001796159141,4.010985631430765,2.5134935143450567,2.0216743260979206,0.3426425109130997,0.3477947133937169,92.57652235837382,0.3824538618651713,2.723627214676448,0.4767579555361626,low,0.0,0.5
lhs_real,4,10004,asymmetric_c_spiral,asymmetric_spiral,2007484.5705802091,21.265545944610565,1.3055833773104377,27.763943294714945,4280.626393724519,4.393130288831067,734.3423913107333,197.60163035063206,136.03348858533337,0.339591636215122,-0.49022522654622724,0.35050473536423893,0.27238829349012006,0.8001008269614822,1.2291727855059689,0.8067328846068637,0.8,0.0,21.160633568800158,1.0,0.6,0.7142857142857143,1.0,26.027693210161605,6.837712485359806,6.080346850245727,1.7469256250064038,0.6959445413173126,0.31207371342579093,204.09638526103598,7.783045149903691,64.14383839526676,5.691263830241423,moderate,0.011526184728613427,0.8652618472861343
lhs_real,5,10005,asymmetric_c_spiral,asymmetric_spiral,1108124.8599880582,22.95768676320923,1.0776390142095809,24.74009893203714,4497.114246642455,2.3794043072429223,930.8298540198776,296.9791300552114,188.2403103830014,0.34953142017552985,-0.5791214074088233,0.17460666682235004,0.4829201397105625,0.9114234006487263,1.1835822227263049,0.5693694145211752,0.5,0.0,5.855278993613389,1.0,0.0,0.5,0.0,10.93852040339426,7.347359975931809,2.4323421206301257,2.5396145448473804,0.2835735154300944,0.3542635441139712,131.4282731562646,1.5240630927951937,8.640024038687732,1.0371501449416247,low,0.0,0.5
lhs_real,6,10006,asymmetric_c_spiral,asymmetric_spiral,1105201.123687265,19.998772192344035,1.3799577730634125,27.597461138549573,1926.4863818187252,3.0455824853887434,728.8636678135483,299.7026758760853,200.75705114731676,0.564874746901242,-0.4515891174358866,0.24865778324814164,0.25519790441399604,0.8695533489032632,1.033906856103319,0.7695436944038025,0.5,0.0,14.15450516529668,1.0,0.0,0.5,0.0,17.46880906170336,7.436121340342329,9.067704410768632,1.160267175268173,0.19159956393360988,0.15377252848917503,137.46695810100533,4.071462718236316,50.521038208684814,2.7376252564276222,low,0.0,0.5
lhs_real,7,10007,asymmetric_c_spiral,asymmetric_spiral,1398470.984616568,23.98869331464718,1.2582706922747888,30.184269743788704,1560.8165863451493,3.7998034830184535,758.3039424685746,262.76470208296064,202.82797175435778,0.518081729187245,-0.5409229117134826,0.37732309884044657,0.48038741172307686,0.7739024912760998,1.2081241012618755,0.7641361970910182,0.5,0.0,16.55495645255388,1.0,0.0,0.5,0.0,22.95537790231421,8.460896309181116,14.707287264333313,0.9497317874668412,0.2035996981826144,0.12483884932167917,148.81709599869424,3.0265535600207816,45.88040048305344,1.788553747394704,low,0.0,0.5
lhs_real,8,10008,asymmetric_c_spiral,asymmetric_spiral,1738066.4278597117,20.811116930852265,1.11213192443518,23.144707521954285,2762.2192843631105,3.5363327693057407,922.0704106761347,251.07823410499793,139.6177041147795,0.5097971486228638,-0.6248805982285367,0.38963127218788174,0.30740850986963414,0.922094901403329,1.1374728456499459,0.6267302559625427,0.5727272727272728,0.0,25.826930681137796,0.14545454545454545,1.0,1.0,0.5392156862745098,19.03105914144925,8.658774350780666,6.889771297008838,1.1569641442330403,0.32584122252629816,0.20277523788990148,165.77201056770747,4.488275005800273,55.85208234439577,2.591749607954395,low,0.003821504215121389,0.6109423148784866
lhs_real,9,10009,asymmetric_c_spiral,asymmetric_spiral,1528693.6422471302,18.426234337374368,1.2787838383680235,23.563170672616266,1913.8001602075683,3.646298905013844,554.9750671163745,248.49649956521506,212.5374780608653,0.412943104349521,-0.4863372919226407,0.18019234639370738,0.5454483851682386,0.8817664423691104,1.1548752407032563,0.5098479176933353,0.5,0.0,7.620226718433329,1.0,0.0,0.5,0.0,11.784254835901603,6.019617150980357,6.15751585819885,1.2202627786889897,0.12708871294375318,0.15446708781528354,110.86595591328309,1.0353429869059563,12.215484361369253,0.859974115411426,low,0.0,0.5
lhs_real,10,10010,asymmetric_c_spiral,asymmetric_spiral,1550227.8460317708,15.760957921819427,1.0885994630563387,17.157370330946176,1632.3279109127518,4.232415704193784,849.9006030355025,289.9015304307796,157.88590040035413,0.41037347783258393,-0.6433897217511604,0.34590719097388023,0.4752377398562547,0.7474452767695215,1.2112040352272953,0.7938732282085508,0.5181818181818182,0.0,12.716105242156335,0.03636363636363636,1.0,1.0,0.5092592592592593,30.91078689373955,11.388654747979942,18.93662828840261,0.7731646858892666,0.3025543673917124,0.12360068517506921,108.66942701938503,1.5688026322109865,29.212996732207245,0.688756778973062,low,0.0005882030193641108,0.5240638483754593
lhs_real,11,10011,asymmetric_c_spiral,asymmetric_spiral,1518113.067867806,22.972682302203097,1.1607955403116326,26.666587165393324,4101.492170549259,3.478917663933916,684.779881323536,299.62586852814974,182.4834873573837,0.484649496509185,-0.3359465210682846,0.3261041176806412,0.41878567234385927,0.7275250603253846,1.2110945202784307,0.728106653415039,0.5272727272727272,0.0,4.533907617340155,0.12727272727272726,0.9272727272727272,0.6363636363636364,0.5151515151515151,19.209559650339084,8.102538446394508,4.683553899791208,2.245363783952502,0.4570825623329311,0.3209730030072098,146.13150785072574,2.311110716799798,14.81882769065989,1.4261646100724166,low,0.0014197476552902562,0.5414702038256298
lhs_real,12,10012,asymmetric_c_spiral,asymmetric_spiral,1048334.6264761768,21.28668094729025,1.1785577575042199,25.0875829619462,1281.72197834544,2.9352267110656527,719.4194146250084,204.00821885462886,151.6317690637253,0.5510555266229011,-0.5294511477322996,0.43168885667744317,0.5470965232353453,0.794676073800055,0.9935325488600306,0.7558974549803071,0.5,0.0,14.75727377174114,1.0,0.0,0.5,0.0,14.210551751357086,4.762099666029067,11.087078158479674,0.5830493130731306,0.11035152485099997,0.09609930151932762,165.45070414236744,1.4603372130191574,36.06016208937359,1.533291316261842,low,0.0,0.5
lhs_real,13,10013,asymmetric_c_spiral,asymmetric_spiral,1411338.6217404457,14.992148723779763,1.063956955778891,15.951000916737105,1418.6740540153514,3.061284989016948,634.6635611990564,202.80464637972858,212.405237656902,0.5501448344873872,-0.4014687375541226,0.2321769673987072,0.5221984228254715,0.9455649070987497,0.8271293674104708,0.5999660182197557,0.5,0.0,3.8599352868587147,1.0,0.0,0.5,0.0,10.912996103570384,4.5437360090136,7.692391407795702,0.9040013988024339,0.08725331666925784,0.11449077803653616,75.09702252494706,0.5534407492409926,8.81417848111242,0.6090150793786313,low,0.0,0.5
lhs_real,14,10014,asymmetric_c_spiral,asymmetric_spiral,1615368.4344745963,21.691492269092144,1.3502982682817242,29.28998444740153,5004.171391166837,3.167116799365094,718.4587127048841,288.87589157539196,174.7809990007162,0.37123423364539865,-0.3702843303111582,0.47026194504542584,0.5448708661927094,0.8625621677846692,0.897835268541951,0.7995011433393717,0.509090909090909,0.0,5.4820212870923335,0.4909090909090909,0.5272727272727272,0.5094339622641509,0.5087719298245614,18.723516116377027,7.255736398043066,3.741581703102142,2.623902224756831,0.5486134344195797,0.3879376711424831,167.58105637833953,2.9196903715396623,16.020237868304235,2.011987627008561,low,0.0004855342893078416,0.5139462519839875
lhs_real,15,10015,asymmetric_c_spiral,asymmetric_spiral,1003696.8155997325,14.012968240507988,1.0582447929050889,14.829150673661964,3048.190842172875,3.1938761680085306,623.149042865445,303.9995539127386,165.81503579847208,0.37497682632468576,-0.40268326937425725,0.1763145256494381,0.5420657836231892,0.9327626224879106,0.8800731574093493,0.5576906206249638,0.5,0.0,1.0564085693103102,0.8363636363636363,0.16363636363636364,0.5,0.5,12.419841532304195,6.891396362981809,4.074496045480808,1.5163076208464101,0.22433587129761187,0.23349604170544605,89.4318817485586,0.6435237782889185,6.110223432307083,0.46690376260006244,low,0.0,0.5
lhs_real,16,10016,asymmetric_c_spiral,asymmetric_spiral,1767293.500773956,23.355522569867446,1.0760920094908382,25.132691214917283,1526.8044468173878,3.692118288008252,879.2139977670814,185.37494373390285,158.05709193006234,0.3545119825834476,-0.6796656312295642,0.46077069931288106,0.5072804405719256,0.7307015507073323,0.7643956242987557,0.8079183546254589,0.6545454545454545,0.0,15.256941854746099,0.36363636363636365,0.9454545454545454,0.8695652173913043,0.5977011494252874,22.899217324365733,6.6121770376011,14.9981337636912,0.7239668124295316,0.20959107856382928,0.11564052047708646,159.01020895688808,2.044602313743926,40.660245843908605,1.546088604492136,low,0.006748940470599039,0.722034859251445
lhs_real,17,10017,asymmetric_c_spiral,asymmetric_spiral,1189328.5871145867,14.425300026061251,1.3394918033464065,19.32257114572175,4284.453694088669,2.8356750185281765,717.0621542488456,298.5489936571678,168.75954626277326,0.5662640832161918,-0.4791574709483276,0.38479567618152,0.3561475344621001,0.7992919829144202,1.2024967571497056,0.6500201606053985,0.5,0.0,1.1747884690585373,1.0,0.0,0.5,0.0,13.219016841104258,6.65540705677855,3.0853447802091436,2.1691273841947996,0.3342424736538497,0.3295277149405682,114.49764812495306,1.2960028301420983,8.60202505288918,0.9736465546627352,low,0.0,0.5
lhs_real,18,10018,asymmetric_c_spiral,asymmetric_spiral,1665499.65607602,12.62626686084741,1.0901341844483758,13.764325126977447,1110.4903324307409,2.4628457859225463,852.2703990198828,203.78430534597442,218.92301645560332,0.5441985597429285,-0.5237349573723541,0.20084182625084027,0.36347895844017697,0.8022989162665851,0.7294485269167336,0.6588196655477384,0.5,0.0,3.3947299612499435,1.0,0.0,0.5,0.0,11.25213037465358,5.249305795145746,10.132578416980818,0.7293356799615707,0.07005824845217498,0.09013083403390167,62.87290093944414,0.42730654852728306,8.43513229757166,0.407012436694421,low,0.0,0.5
lhs_real,19,10019,asymmetric_c_spiral,asymmetric_spiral,1629503.3248511855,14.654771000817657,1.367526598476914,20.040789138206293,2059.575493432322,3.8685881810184943,846.6199512861725,226.99038452394961,161.52081881513828,0.5762547460199587,-0.5026865644333172,0.35028677879964026,0.4238939611310787,0.9103558994730313,0.9584646625019897,0.5084555161180068,0.5,0.0,12.860839382478225,1.0,0.0,0.5,0.0,15.89640172770693,7.98813803223521,7.718290384789572,0.9979929603323435,0.19522408381595963,0.15680079578375378,124.07557914341133,1.9228651356027373,27.739661522612803,1.203575306187272,low,0.0,0.5
