class,particle_id,frequency_hz,radius_um,re_cm,initial_lateral_um,final_lateral_um,outlet,wall_state
live,0,933564.962861874,11.274312161846046,0.97851392292749,-44.85454826111488,-14.580382195265603,outer,
live,1,933564.962861874,10.67080278671994,0.9750851005777901,-33.17075868993767,-12.901967463250818,outer,
live,2,933564.962861874,10.782923936899726,0.9789789358927975,-49.36243279013287,-19.938337437489086,outer,
live,3,933564.962861874,10.677691549322326,0.9800552300347636,-53.04401362390509,-21.04573454865816,outer,
live,4,933564.962861874,11.884781173878316,0.969871949335655,-41.20155469262619,-13.31137441960467,outer,
live,5,933564.962861874,11.10581783253092,0.9749210800254451,-35.69238222737984,-12.045717075278473,outer,
live,6,933564.962861874,10.762597203398174,0.9766619082941668,-52.28323507095544,-19.676286383889583,outer,
live,7,933564.962861874,12.066542180430533,0.9739637677552834,-42.37261013025707,-13.014496851404528,outer,
live,8,933564.962861874,12.650535484167067,0.9790935094521064,-45.94507153269425,-11.560537489420838,outer,
live,9,933564.962861874,11.628384210675716,0.9758638355432253,-37.40875688757642,-12.426742147695585,outer,
live,10,933564.962861874,10.804261397719022,0.9731086736455986,-34.81436962953877,-13.108002785857142,outer,
live,11,933564.962861874,11.841208813395376,0.97934969995606,-33.886234322402366,-9.247485203414017,outer,
live,12,933564.962861874,12.885148926421461,0.9748513742730189,-51.17528870054272,-12.23565367501229,outer,
live,13,933564.962861874,12.435837032309239,0.9762788701718033,-31.01624711573341,-6.233008968162817,outer,
live,14,933564.962861874,10.190430222236333,0.973518656280089,-36.217415398307025,-15.907768395788995,outer,
live,15,933564.962861874,10.704393123385964,0.9779432120309131,-53.243827968327764,-21.98489917720233,outer,
live,16,933564.962861874,10.853192604828227,0.9603743849738385,-30.179073663932428,-10.163135903861988,outer,
live,17,933564.962861874,11.511000002444025,0.9798043178313358,-46.03948293084755,-16.014475596426323,outer,
live,18,933564.962861874,11.390870378714883,0.9678981021970868,-53.83495331492921,-19.318547756850563,outer,
live,19,933564.962861874,11.860163435365408,0.9744759328634018,-37.48744317847316,-10.913433021318305,outer,
live,20,933564.962861874,10.863338854618673,0.9816174423098407,-53.8515648708509,-20.453781146797986,outer,
live,21,933564.962861874,11.62644958751206,0.977685449585586,-53.63242362899297,-18.00303760191832,outer,
live,22,933564.962861874,12.50607074954814,0.9839317092815363,-34.962584376389124,-8.10854573903387,outer,
live,23,933564.962861874,12.639464400277392,0.9777746274825577,-39.5306830544949,-9.788909623647159,outer,
live,24,933564.962861874,11.294296550865567,0.9677302523015561,-49.03328403748594,-16.45024389520318,outer,
live,25,933564.962861874,13.28758590780408,0.9811580942231696,-35.51023465934812,-5.403419241050539,outer,
live,26,933564.962861874,13.369376355803364,0.9822891996496413,-45.3283534589091,-9.147492021842556,outer,
live,27,933564.962861874,11.819460312360214,0.9735758066744828,-43.453156766478116,-14.451462442796515,outer,
live,28,933564.962861874,11.651838723436168,0.9754017775976453,-52.68684679303901,-17.622676356699383,outer,
live,29,933564.962861874,13.175170095940974,0.9730689550727534,-35.548143308033396,-6.540382864993687,outer,
live,30,933564.962861874,10.834488572757301,0.97875456376134,-55.03338352988753,-21.285436131514654,outer,
live,31,933564.962861874,12.223183499306835,0.9787922829729091,-42.31893401496707,-11.354667876484585,outer,
live,32,933564.962861874,12.28770232269917,0.9766494864523481,-52.58833548970251,-13.934542419045824,outer,
live,33,933564.962861874,10.684588112838686,0.9780058727817375,-40.542718480479266,-16.104575764922416,outer,
live,34,933564.962861874,10.655821784410287,0.9732934188553345,-33.66632577914091,-12.325756701548963,outer,
live,35,933564.962861874,12.542081942064536,0.9720574666025757,-51.90019650494485,-14.394009022881326,outer,
live,36,933564.962861874,9.698101269842569,0.9744934256729495,-54.28106734295,-24.72255570944613,outer,
live,37,933564.962861874,10.190311420452717,0.9698527870892617,-33.2102244082146,-13.403691388559622,outer,
live,38,933564.962861874,9.824058461776918,0.9667567402520653,-51.43547179184122,-23.81262683021529,outer,
live,39,933564.962861874,12.049426774739953,0.9791952661351332,-50.753483828394515,-15.1611678041913,outer,
live,40,933564.962861874,10.874179252490489,0.9698676051144731,-41.24436710569139,-16.08291680052968,outer,
live,41,933564.962861874,10.47561345813995,0.9793109264027368,-32.001581562419766,-11.23357058412414,outer,
live,42,933564.962861874,12.181940812462509,0.9792283118694681,-37.95134772249441,-9.87646784778119,outer,
live,43,933564.962861874,13.19184802054785,0.9812654506088765,-37.40427092899626,-7.287677994627057,outer,
live,44,933564.962861874,13.07788323353633,0.98112844767453,-39.16501313977019,-8.034521149928933,outer,
live,45,933564.962861874,11.902626978758443,0.9754216922159765,-34.723676914832055,-9.555794942505422,outer,
live,46,933564.962861874,9.919282041894016,0.9765734586332826,-45.936915431542985,-19.54131872967505,outer,
live,47,933564.962861874,10.603014003908893,0.98172823672948,-44.45028734321118,-17.58854565368858,outer,
live,48,933564.962861874,11.792592050737138,0.977849680705019,-43.16060890988192,-13.308295430355683,outer,
live,49,933564.962861874,11.775624057446004,0.9809410274991809,-51.046656590149745,-15.154883973248982,outer,
live,50,933564.962861874,10.324889472404521,0.9770529745590768,-53.42619856276456,-22.447781910626617,outer,
live,51,933564.962861874,12.451635348653433,0.9833369645990564,-51.351588815951985,-13.27483290444638,outer,
live,52,933564.962861874,11.572528581695131,0.9658230047802797,-55.06493950030021,-17.680491691078743,outer,
live,53,933564.962861874,10.392711792802015,0.9766511702334171,-38.27397804629234,-14.687916715166045,outer,
live,54,933564.962861874,11.237477802056462,0.9767716196953193,-48.40971594674381,-16.60229289899082,outer,
live,55,933564.962861874,14.348289488935361,0.97723227854587,-38.3211635071274,-4.489124157555729,outer,
live,56,933564.962861874,12.112956653686668,0.9797945303233293,-49.664193499807965,-14.993123991195924,outer,
live,57,933564.962861874,10.781832991024222,0.976099797373735,-52.592516964997785,-20.47644003002422,outer,
live,58,933564.962861874,10.98994852550055,0.9766024230670929,-38.981223927019286,-14.28635194385469,outer,
live,59,933564.962861874,12.564467958551006,0.9784438600420643,-34.6602935228059,-7.056978919864456,outer,
live,60,933564.962861874,10.044929695716204,0.9669714074373775,-30.923179211384543,-12.398617465127591,outer,
live,61,933564.962861874,11.630533963479175,0.9804683137753003,-45.37500354918492,-15.12489184102008,outer,
live,62,933564.962861874,11.874494017525588,0.981877467074315,-42.69834861896476,-13.892491781987003,outer,
live,63,933564.962861874,10.774928805913321,0.9735375823735779,-42.26804378135167,-15.75893462611569,outer,
live,64,933564.962861874,9.10992805948802,0.9697346948246542,-52.48947345295045,-26.121618982847153,outer,
live,65,933564.962861874,11.200287830999754,0.9772171920450616,-37.5505535293015,-13.497607356871548,outer,
live,66,933564.962861874,12.27989461598677,0.9798245338238298,-37.150949594961716,-9.849707667348284,outer,
live,67,933564.962861874,10.67323348648728,0.9782265854131168,-39.148923924107415,-14.943120182323689,outer,
live,68,933564.962861874,12.316302444630038,0.9674861773741913,-53.49548314127745,-15.967908570094625,outer,
live,69,933564.962861874,10.504759768778024,0.977999811515155,-46.26401410923217,-19.715904097415695,outer,
live,70,933564.962861874,11.18546219052564,0.9771589110682883,-53.195734658649485,-18.353556155188045,outer,
live,71,933564.962861874,10.933894797555089,0.9760422480590603,-43.31550072659614,-16.699951428793778,outer,
live,72,933564.962861874,13.809031831896025,0.9810484045094713,-42.680766417650176,-7.263703831770537,outer,
live,73,933564.962861874,11.513013949536061,0.9800045720326576,-32.48075241988094,-11.163299713804637,outer,
live,74,933564.962861874,12.232272493722878,0.9680215636068082,-40.981312705954316,-12.702232653567386,outer,
live,75,933564.962861874,11.802320697083811,0.9804147808825397,-43.02457713628817,-12.991209847521109,outer,
live,76,933564.962861874,12.734407544407324,0.9748178722334687,-48.704799514241216,-12.56790139624859,outer,
live,77,933564.962861874,11.043099819004217,0.9759564352115427,-48.467871791595705,-18.6611601924982,outer,
live,78,933564.962861874,10.846328974877622,0.973197914496388,-34.18924407866034,-13.895834062580578,outer,
live,79,933564.962861874,12.706320697995002,0.9770642095691667,-49.104864966386955,-13.012860719888476,outer,
