case_id,seed,geometry,dep_enabled,dep_sign,frequency_hz,turns,pitch_um,channel_width_um,voltage_v,velocity_um_s,outlet_split_ratio,correct_A_live_inner_dead_outer,correct_B_live_outer_dead_inner,target_correct,preferred_direction,live_recovery_A,dead_removal_A,wall_loss,live_final_lateral_mean_um,dead_final_lateral_mean_um,distribution_gap_um,sample_id,optimization_score
spiral_dep_1_sign_1_f_401.519kHz_V_4.87875_u_3247_split_0.476666,101,spiral,True,1.0,401519.3826090835,5.7822092408271875,134.4751509260812,109.1469174465635,4.878750217258938,3246.887736427992,0.4766656289120774,0.5833333333333334,0.375,0.5833333333333334,A_live_inner_dead_outer,0.5333333333333333,0.6333333333333333,0.041666666666666664,0.22417153147735658,7.612222375757993,7.388050844280636,46,0.5628855367104558
spiral_dep_1_sign_1_f_1630.33kHz_V_6.20617_u_2969_split_0.513148,101,spiral,True,1.0,1630330.7649595463,2.732960803469419,313.22437143504436,155.73481166891588,6.206173626960781,2969.3693597162014,0.5131480006720793,0.5416666666666666,0.43333333333333335,0.5416666666666666,A_live_inner_dead_outer,0.6,0.48333333333333334,0.025,-5.576459415106677,7.083076477147609,12.659535892254286,2,0.5623048102356838
spiral_dep_1_sign_1_f_1080.46kHz_V_5.34293_u_1085_split_0.390604,101,spiral,True,1.0,1080460.4700460033,6.227120203033467,206.42131058367804,175.91970581388657,5.342925426142311,1084.6862531748802,0.3906037259021019,0.5083333333333333,0.4666666666666667,0.5083333333333333,A_live_inner_dead_outer,0.35,0.6666666666666666,0.025,-0.024045576537123175,6.107341674423169,6.131387250960292,5,0.5028588823371745
spiral_dep_1_sign_1_f_1445.27kHz_V_4.43381_u_4156_split_0.398988,101,spiral,True,1.0,1445269.7110083587,2.877336587728291,209.70316319685747,162.74909475930306,4.433814227604483,4156.437384329924,0.398988095596203,0.4666666666666667,0.5,0.5,B_live_outer_dead_inner,0.26666666666666666,0.6666666666666666,0.03333333333333333,11.838620446728576,5.4502175240099895,6.388402922718587,6,0.48555361169087435
spiral_dep_1_sign_1_f_883.861kHz_V_14.6618_u_1732_split_0.452187,101,spiral,True,1.0,883861.3092609006,2.686905330007623,160.343249770185,171.27923870078624,14.661807805779814,1732.3253682209497,0.4521872761735003,0.5166666666666667,0.4166666666666667,0.5166666666666667,A_live_inner_dead_outer,0.45,0.5833333333333334,0.06666666666666667,-7.618214580875795,0.22751142215861234,7.845726003034407,30,0.4680495706788043
spiral_dep_1_sign_1_f_1240.31kHz_V_10.5342_u_2691_split_0.501812,101,spiral,True,1.0,1240312.1548396468,4.768799720939054,216.67262878557065,179.1037470665922,10.534159763696126,2691.3149396455087,0.5018124842692727,0.5,0.4166666666666667,0.5,A_live_inner_dead_outer,0.5,0.5,0.08333333333333333,2.9346450760458276,19.004839163182954,16.070194087137125,3,0.46428077634854853
spiral_dep_1_sign_1_f_754.389kHz_V_4.61043_u_2848_split_0.616167,101,spiral,True,1.0,754389.2559158715,5.999781197328483,227.42972637198815,116.86773805976671,4.610425826720922,2847.6156086937185,0.6161666796907411,0.425,0.5166666666666667,0.5166666666666667,B_live_outer_dead_inner,0.5333333333333333,0.31666666666666665,0.058333333333333334,9.694449619988802,5.57057191261064,4.1238777073781625,16,0.4631621774961794
spiral_dep_1_sign_1_f_1825.35kHz_V_5.9254_u_1914_split_0.447393,101,spiral,True,1.0,1825346.661135972,5.400414899320263,140.38731804463802,153.19100946329036,5.925403118724283,1913.6356719794949,0.4473928746587165,0.4583333333333333,0.5,0.5,B_live_outer_dead_inner,0.4,0.5166666666666667,0.041666666666666664,2.6431262045635515,1.539877359629649,1.1032488449339026,14,0.4544129953797356
spiral_dep_1_sign_1_f_1277.26kHz_V_8.27572_u_3716_split_0.357361,101,spiral,True,1.0,1277257.5299252213,4.185259434564725,236.98778536631428,167.38652720543007,8.275718786351527,3716.4430083458815,0.3573605195067864,0.5083333333333333,0.4166666666666667,0.5083333333333333,A_live_inner_dead_outer,0.3,0.7166666666666667,0.075,4.664878141419263,10.000103304276854,5.335225162857591,34,0.4396742339847637
spiral_dep_1_sign_1_f_1766.88kHz_V_5.60168_u_1653_split_0.38098,101,spiral,True,1.0,1766875.5925064168,5.56912238362068,259.44875035118923,113.55577340889337,5.601682638599437,1652.8246586210398,0.3809802635384406,0.4666666666666667,0.44166666666666665,0.4666666666666667,A_live_inner_dead_outer,0.21666666666666667,0.7166666666666667,0.09166666666666666,-0.2199296895665658,7.780288614677493,8.00021830424406,47,0.38866753988364294
