stage,sample_id,seed,family,equation,shape_class,inlet_kind,frequency_hz,voltage_v,effective_voltage_v,velocity_um_s,turns,radius_um,pitch_um_per_turn,width_um,eccentricity,curvature_power,inlet_length_um,inlet_offset_ratio,inlet_spread_ratio,dep_start_fraction,dep_end_fraction,electrode_gap_um,electrode_coverage,field_gain,dean_scale,target_correct,wall_loss,distribution_gap_um,live_recovery,dead_removal,live_outlet_purity,dead_outlet_purity,length_mm,footprint_mm2,residence_s,flow_uL_min,pressure_drop_kPa,reynolds,effective_field_kV_m,active_joule_power_mW,adiabatic_delta_c_proxy,steady_substrate_delta_c_proxy,thermal_risk,manufacturable_gap_ok,manufacturable_bend_ok,mean_curvature_1_m,p95_curvature_1_m,min_curvature_radius_um,smoothness_index,path_samples_valid,short_channel_score,v10_score,source_file,manufacturable_no_intersection_ok,self_intersects,channel_overlap_flag,min_nonlocal_clearance_um,v11_score,v12_score,source_id,family_id,shape_class_id,inlet_kind_id,manufacturable_no_intersection_ok_num,thermal_risk_num,design_score
v12_operating_screen,40,121040,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1819140.002541949,11.353100615985696,13.260936779916712,2706.5383237506967,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.6205641821856818,0.3078986755748815,0.3106126368366936,0.9466719090846648,43.70988770195156,0.779109297075169,1.1680453849977066,1.686361595925589,0.6461538461538462,0.0,9.164484441298566,0.2923076923076923,1.0,1.0,0.5855855855855856,7.079656095729848,3.6733717016350447,2.615760520959084,0.7801834096525454,0.1368323355786093,0.1774848358302787,303.385285964133,3.958919549295994,73.05665368386703,5.388672683918496,low,True,True,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0206442013817592,,v12_operating_screen.csv,True,False,False,238.3610133066564,0.9558168668802344,1.3838669438669438,2,2,2,2,1.0,0.0,0.5159734919571078
v12_operating_screen,96,121096,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1549353.1583855152,9.921339830077017,10.364039801178365,3351.4816954301004,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.4383752373271123,0.1580858751505669,0.3513913290031543,0.8192840504076977,66.21184161571675,0.5494180426998468,1.0446209865485387,1.686361595925589,0.6692307692307692,0.0,3.267449207358869,0.5538461538461539,0.7846153846153846,0.72,0.6375,7.079656095729848,3.6733717016350447,2.112395871170439,0.96609399304763,0.1694382318588959,0.2197778517605749,156.52849321620806,0.7797740876256377,11.6206180725544,1.0613873995906191,low,True,True,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0239038121262475,,v12_operating_screen.csv,True,False,False,238.3610133066564,1.0277879511244818,1.3820423076923074,2,2,2,2,1.0,0.0,0.5867375969590861
v12_operating_screen,20,121020,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1636501.6717966013,16.0,17.7645285940675,3200.0,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.4800226911023929,0.1696306643544718,0.2335934765508016,0.8799601523090045,48.14336758918336,0.6152455414719535,1.1102830371292187,1.686361595925589,0.6846153846153846,0.0,10.648949212709374,0.3692307692307692,1.0,1.0,0.6132075471698113,7.079656095729848,3.6733717016350447,2.212392529915577,0.922428065762024,0.1617798905743048,0.2098442389205964,368.9922305738071,5.983291856182568,93.38722909569748,8.144141598193508,moderate,True,True,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0260768859559063,,v12_operating_screen.csv,True,False,False,238.3610133066564,1.0257686739539802,1.3513406803728498,2,2,2,2,1.0,1.0,0.47406944581534766
v12_operating_screen,77,121077,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1419810.8785595156,14.395433348285165,15.101724773018727,2038.939124729567,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.5317864138692832,0.1307624314564218,0.3717041333866051,0.7250292711248135,72.06724200691689,0.8178419753606414,1.0490635750689437,1.686361595925589,0.6230769230769231,0.0,8.54107811632852,0.2461538461538461,1.0,1.0,0.5701754385964912,7.079656095729848,3.6733717016350447,3.472225340062005,0.5877420853221276,0.1030810464020056,0.1337061340107197,209.55047470207467,1.0554187624642206,25.853409862707124,1.436580406489283,low,True,True,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0173845906372709,,v12_operating_screen.csv,True,False,False,238.3610133066564,0.8838457826359868,1.3418623481781375,2,2,2,2,1.0,0.0,0.5364490806826613
v12_operating_screen,75,121075,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1725582.955487804,18.140290564796377,18.92394727005085,4146.059097521535,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.603989483343943,0.1918258910694728,0.2443217829915168,0.7529552969704003,61.362724671680965,0.4241210700415823,1.0431997879226511,1.686361595925589,0.6076923076923076,0.0,8.970402829113244,0.2153846153846154,1.0,1.0,0.5603448275862069,7.079656095729848,3.6733717016350447,1.7075627551864812,1.195137898081822,0.2096090584723858,0.2718833174497567,308.3948336926488,3.2906822831789637,39.641286926195605,4.479103328577199,low,True,True,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.015211516807612,,v12_operating_screen.csv,True,False,False,238.3610133066564,0.8358650598064883,1.3139389920424402,2,2,2,2,1.0,0.0,0.48753551248732474
v12_operating_screen,9,121009,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1636501.6717966013,12.0,13.323396445550625,2200.0,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.4800226911023929,0.1696306643544718,0.2335934765508016,0.8799601523090045,48.14336758918336,0.6152455414719535,1.1102830371292187,1.686361595925589,0.6,0.0,9.52310204313564,0.2,1.0,1.0,0.5555555555555556,7.079656095729848,3.6733717016350447,3.218025498059021,0.6341692952113913,0.1112236747698345,0.14426791425791,276.7441729303553,3.365601669102693,76.40773289647974,4.581079648983847,low,True,True,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0141249798927826,,v12_operating_screen.csv,True,False,False,238.3610133066564,0.8118746983917392,1.3,2,2,2,2,1.0,0.0,0.47871941400616114
v12_operating_screen,39,121039,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,2089081.1250505263,12.996321063976437,15.509214430076252,2167.258338859609,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.3928524517048397,0.2806291663216659,0.2488580508230248,0.8800744525489644,38.367522623041,0.7140491104184025,1.1933542079892996,1.686361595925589,0.6692307692307692,0.0,12.559633504864031,0.3384615384615385,1.0,1.0,0.6018518518518519,7.079656095729848,3.6733717016350447,3.266641529894906,0.6247312242252769,0.1095683802834241,0.1421208364569721,404.2276740787648,7.0121622962561645,161.59895831212185,9.544585827150298,moderate,True,True,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0239038121262475,,v12_operating_screen.csv,True,False,False,238.3610133066564,0.9777879511244818,1.2951339244826348,2,2,2,2,1.0,1.0,0.44325177382962827
v12_operating_screen,3,121003,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1636501.6717966013,10.0,11.102830371292187,1600.0,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.4800226911023929,0.1696306643544718,0.2335934765508016,0.8799601523090045,48.14336758918336,0.6152455414719535,1.1102830371292187,1.686361595925589,0.5923076923076923,0.0,9.69579183895032,0.1846153846153846,1.0,1.0,0.5508474576271186,7.079656095729848,3.6733717016350447,4.424785059831154,0.4612140328810119,0.0808899452871524,0.1049221194602982,230.62014410862943,2.3372233813213152,72.95877273101365,3.1813053117943384,low,True,True,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0130384429779531,,v12_operating_screen.csv,True,False,False,238.3610133066564,0.7878843369769901,1.2860756192959582,2,2,2,2,1.0,0.0,0.48645278063057407
v12_operating_screen,31,121031,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1918901.7669701409,11.19707361715252,11.59346194585622,2654.6558704866075,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.4491108794305727,0.2559400663966501,0.3415114561944159,0.7326217747402457,69.98243491799074,0.5272647898722368,1.0354010648011174,1.686361595925589,0.6,0.0,3.3172112987345503,0.4,0.8,0.6666666666666666,0.5714285714285714,7.079656095729848,3.6733717016350447,2.6668828055789104,0.7652278374614885,0.1342093550749247,0.1740825752307361,165.66245457795335,0.7301617954438853,13.737514230997032,0.993857761683748,low,True,True,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0141249798927826,,v12_operating_screen.csv,True,False,False,238.3610133066564,0.8118746983917392,1.2428571428571429,2,2,2,2,1.0,0.0,0.5182510121110432
v12_operating_screen,15,121015,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1636501.6717966013,14.0,15.543962519809062,3200.0,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.4800226911023929,0.1696306643544718,0.2335934765508016,0.8799601523090045,48.14336758918336,0.6152455414719535,1.1102830371292187,1.686361595925589,0.6,0.0,8.310368053086105,0.2,1.0,1.0,0.5555555555555556,7.079656095729848,3.6733717016350447,2.212392529915577,0.922428065762024,0.1617798905743048,0.2098442389205964,322.86820175208123,4.580957827389779,71.49959727639339,6.235358411116905,moderate,True,True,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0141249798927826,,v12_operating_screen.csv,True,False,False,238.3610133066564,0.7618746983917392,1.235292831777662,2,2,2,2,1.0,1.0,0.41048907163185483
