stage,sample_id,seed,family,equation,frequency_hz,voltage_v,field_gain,effective_voltage_v,velocity_um_s,turns,a_um,b_um_per_rad,c_ratio,n_mode,phase_rad,width0_um,outlet_expansion_beta,outlet_expansion_center,outlet_expansion_ell,outlet_split_ratio,inlet_offset_ratio,inlet_spread_ratio,dep_start_fraction,dep_end_fraction,dep_edge_smoothness,dean_scale,target_correct,wall_loss,distribution_gap_um,live_recovery,dead_removal,live_outlet_purity,dead_outlet_purity,length_mm,mean_width_um,footprint_mm2,residence_s,flow_uL_min,pressure_drop_kPa,reynolds,effective_field_kV_m,active_joule_power_mW,adiabatic_delta_c_proxy,steady_substrate_delta_c_proxy,thermal_risk,short_channel_score,v9_score
formula_initial,0,60000,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),1591150.578191885,22.525403724821878,1.2801789417542524,28.836547503029767,1442.5822013844404,2.6717382892103947,833.9648065752425,32.49647663793131,0.11486827206847403,2.6750889407867926,-2.3872393994900225,171.134437190356,0.21879011951202312,0.866183175331525,0.054723408599926276,0.47539934106884885,-0.6779264381633356,0.23198058359691906,0.26362432112219486,0.9420159982756986,0.033985474891396555,0.9515099054922795,0.5,0.0,30.18137032321086,1.0,0.0,0.5,0.0,18.745401045341236,176.37557517564883,6.254667356500932,12.994338227209063,0.7633087965220031,0.15802282194103612,0.1120584482287822,163.4951294946142,5.945199887144068,112.13624362332777,4.752610769112116,low,0.0,0.5
formula_initial,1,60001,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),1245274.7807325863,21.213004771042883,1.3312864825437423,28.240586505825302,2438.025385556735,2.3610060927962953,813.4349938878725,54.29873203565742,0.043972018994541166,1.7166107892646885,-1.8742922688239843,157.44385425095422,0.12736492299250438,0.8653594572192889,0.05937143175067173,0.4320565203047608,-0.7232679428572534,0.4035393225984455,0.5222717682130273,0.8417961792867908,0.03467235535567911,0.8054924505444785,0.5,0.0,13.190830096302385,1.0,0.0,0.5,0.0,17.985930094437684,160.2924808463057,7.547621067193318,7.377253001953673,1.1723914122514798,0.2619600131375717,0.1852775450823986,176.18160475601726,2.856437384956423,35.07776305653445,1.8922766256591008,low,0.0,0.5
formula_initial,2,60002,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),1628309.1284717424,21.200629731691386,1.0733449887867617,22.755589681634575,4001.5363388563464,4.320589781414668,656.5812712544898,32.251178791461186,0.0681890309734223,2.223166044767207,0.31744747403940243,207.08814414508646,0.19742316623193362,0.7393754743400985,0.05021003225943899,0.3467356655366692,-0.5804426415644447,0.33283189672169355,0.30511172854820745,0.7858425206616385,0.053892160605819237,0.9398673550253414,0.5818181818181818,0.0,4.940425346412177,0.2545454545454545,0.9090909090909091,0.7368421052631579,0.5494505494505495,29.87350443747114,217.8032338583021,8.073078518850084,7.465508721584944,2.6146426650132684,0.6708078019951733,0.324466922904737,104.47774019938957,3.406282150733649,18.756339516861974,2.1096550360436943,low,0.002738821017448326,0.6064675709752168
formula_initial,3,60003,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),1586605.0030905167,21.305343898104475,1.3660027341602379,29.103158017034854,3707.980749080953,3.109734185069335,747.9495337251044,43.04275211363934,0.05345934907421654,1.5043884530171652,-2.225900351711119,194.7255719915902,0.043878128914817446,0.8417399956966272,0.05967385036631076,0.5282602863743309,-0.4132212203486051,0.22892046148833078,0.5271258127746671,0.8778185397279454,0.03392131355220494,1.1020188122392507,0.5,0.0,3.4859416078790666,1.0,0.0,0.5,0.0,22.861786875589985,196.12555014381778,7.8768234864403475,6.165562451006906,2.1816892930085623,0.48475892692909683,0.29458464373955234,148.39044681171663,3.4535396228271966,22.7903687998858,2.1922159540405683,low,0.0,0.5
formula_initial,4,60004,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),1119340.9672096698,23.047755937711464,1.3594975194091226,31.333367025265613,3109.5966801953896,4.011923836079536,572.4970216463423,46.76239243967395,0.049191443010372926,2.7645156759032474,0.0346599496103801,186.84373143706085,0.0002892578624462738,0.8182840181408495,0.08980994207100709,0.392565499648042,-0.5212090583499267,0.3728868007747402,0.30473083552956715,0.7787954250766308,0.05213148571610181,0.9051130430988298,0.6,0.0,12.057120209786898,0.34545454545454546,0.8545454545454545,0.7037037037037037,0.5662650602409639,29.332465765431692,186.85422201823766,9.636069747126609,9.432884319772494,1.7431238054052125,0.5265913593614986,0.24458003734397996,167.6888361784373,7.293335454894952,60.239001645258405,3.7843932465670256,low,0.003409191739954231,0.630682725659588
formula_initial,5,60005,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),1042136.3873896261,22.64213988385762,1.3207560541780317,29.904743331150826,1198.2214425920865,4.069280119114099,532.4185638570367,42.30082051193355,0.05229777125904331,2.7267772575587457,2.2933618959505075,140.07699491376988,0.04296848637016669,0.7252412469736558,0.07370678941157499,0.5635171105789154,-0.5435878227503746,0.3512009856045423,0.41219410517506194,0.7633347687026265,0.045485191262490225,1.148732154937142,0.6727272727272727,0.0,39.752123439570546,0.34545454545454546,1.0,1.0,0.6043956043956044,27.60796829638722,141.74763504117124,8.380229952153996,23.04078971968946,0.5095351672291465,0.20415466671920274,0.0883116605529245,210.9717267767103,6.114452492439271,172.76796653683658,3.648141236785307,low,0.006256428248284964,0.7290351269618374
formula_initial,6,60006,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),1105116.2596054075,19.70663837453674,1.2018729601342582,23.68487579749984,3618.8196649222587,3.045865103630144,626.2889919966719,34.317090155765456,0.04050175843815489,1.7173158654412886,-1.2545404226784953,172.82024463252446,0.0311249743435068,0.8944272868429448,0.043526114277167315,0.4521796137271563,-0.45164844020074624,0.24536542273523848,0.4348188033055953,0.8884106234746321,0.03580715199639092,0.9627514770968479,0.5,0.0,7.659415993145519,1.0,0.0,0.5,0.0,18.31039212284613,173.4173985873159,5.393917170854129,5.059769156316742,1.8826988767423207,0.38865373830745986,0.2800514182543257,136.57727535091857,2.6774625542951678,20.474926551329837,2.481927761852515,low,0.0,0.5
formula_initial,7,60007,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),1751286.6338937334,19.144165447901337,1.1367424475673222,21.761985487881127,1444.692455097182,3.3764232021609466,806.6272629522362,40.745936011772415,0.09048914278320017,2.535594153301295,-0.6511641796275862,166.21982049931626,0.04685382691021603,0.8456596702951545,0.08303923607695698,0.3374619902496823,-0.42495388044043825,0.4399461068149174,0.34192205786312696,0.8815533683450074,0.025797301221288555,0.9972869688589557,0.7363636363636363,0.0,18.66954300793985,0.8727272727272727,0.6,0.6857142857142857,0.825,26.507224670317896,167.52587977640053,8.991333209490472,18.348005194319924,0.7260701236394503,0.2263816729622706,0.11092809033613776,129.90223072952784,4.041724634642785,80.14343727262607,2.2475669294386122,low,0.0089169514841103,0.816616199720629
formula_initial,8,60008,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),1855526.216783653,22.556622607614962,1.2183350750489794,27.48152449750008,4039.7452527193864,4.450242169523772,728.3183639292964,39.02134091722083,0.09496881246760877,1.8750360101749852,2.8652289450884476,167.08638419193457,0.26634495830045696,0.745799512525745,0.05058045485251256,0.5307708983556594,-0.5574974556955614,0.4407954360613424,0.4656294223299158,0.7421501040137132,0.02064262588474029,1.0636715014608005,0.5,0.0,8.496655992312395,1.0,0.0,0.5,0.0,35.63790429407267,178.46761024978133,10.368977092303982,8.82181971006284,2.1628910438121838,0.8391607254075244,0.3146182469545937,153.9860620032802,4.170254390732831,27.75924924107095,2.0109285388565756,low,0.0,0.4992345148471128
formula_initial,9,60009,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),1199647.1715888605,13.304866064784381,1.4270169292584587,18.98626911596368,3167.7440840805953,3.621214228401306,619.1263004448313,45.38710262184222,0.05190476514703933,1.9787951942862,-0.8545927969177947,185.96244678037723,0.18509797464018937,0.7300154456682675,0.0594886815662903,0.4458765900604241,-0.7239267037861603,0.26020248733594353,0.5299756745731519,0.9782024748581577,0.042306110166303465,1.0027093138539227,0.5,0.0,6.0987995467238605,1.0,0.0,0.5,0.0,25.816011436897845,195.316004295095,8.605029351089339,8.149651850550507,1.856133351396142,0.46801737140878447,0.25145321665953163,97.20795376951342,2.0412629668108093,15.833232624271433,1.1860871610812107,low,0.0,0.5
