index,progress,theta_rad,x_m,y_m,width_m,alpha_dep
0,0.0,0.0,0.0006709344477090253,0.0,0.00012814700752745978,3.12447089190051e-07
1,0.0006253908692933083,0.018707877055840063,0.0006721292097520375,1.2497404055399772e-05,0.00012814701278140306,3.1866847858267557e-07
2,0.0012507817385866166,0.037415754111680126,0.0006731910495340595,2.502761460314006e-05,0.00012814701808278349,3.250137471047066e-07
3,0.001876172607879925,0.056123631167520185,0.0006741177412814444,3.75918742215878e-05,0.00012814702343202935,3.3148536141233047e-07
4,0.0025015634771732333,0.07483150822336025,0.0006749067558805663,5.0191318423432235e-05,0.00012814702882957285,3.380858372772255e-07
5,0.0031269543464665416,0.09353938527920032,0.0006755552673570541,6.282695511130343e-05,0.00012814703427585,3.448177405645402e-07
6,0.00375234521575985,0.11224726233504037,0.0006760601606933135,7.549964451319375e-05,0.00012814703977130084,3.516836882303375e-07
7,0.004377736085053158,0.13095513939088044,0.0006764180409578906,8.821007967478996e-05,0.00012814704531636937,3.5868634933890363e-07
8,0.0050031269543464665,0.1496630164467205,0.0006766252437154368,0.00010095876758365726,0.0001281470509115035,3.658284461003098e-07
9,0.005628517823639775,0.16837089350256057,0.0006766778466813322,0.00011374601099778454,0.0001281470565571553,3.731127549286388e-07
10,0.006253908692933083,0.18707877055840064,0.0006765716825804662,0.00012657189104831173,0.00012814706225378088,3.8054210752127764e-07
11,0.0068792995622263915,0.2057866476142407,0.0006763023531652434,0.00013943625068332612,0.00012814706800184046,3.881193919597032e-07
12,0.0075046904315197,0.22449452467008074,0.0006758652443436347,0.0001523386790164462,0.00012814707380179844,3.9584755383218266e-07
13,0.008130081300813009,0.2432024017259208,0.0006752555423639978,0.0001652784966405203,0.0001281470796541234,4.037295973788361e-07
14,0.008755472170106316,0.2619102787817609,0.0006744682509995035,0.00017825474196316696,0.00012814708555928807,4.117685866594912e-07
15,0.009380863039399626,0.28061815583760097,0.0006734982096713153,0.0001912661586170864,0.00012814709151776958,4.199676467447967e-07
16,0.010006253908692933,0.299326032893441,0.000672340112446196,0.00020431118399409404,0.00012814709753004934,4.28329964931048e-07
17,0.010631644777986242,0.31803390994928105,0.000670988527840977,0.00021738793894768093,0.000128147103596613,4.3685879197920923e-07
18,0.01125703564727955,0.33674178700512114,0.0006694379193633239,0.00023049421870460548,0.00012814710971795077,4.4555744337859987e-07
19,0.011882426516572859,0.3554496640609612,0.0006676826667154944,0.00024362748502158976,0.00012814711589455714,4.5442930063574537e-07
20,0.012507817385866166,0.3741575411168013,0.0006657170875852897,0.00025678485961863547,0.00012814712212693105,4.634778125888889e-07
21,0.013133208255159476,0.3928654181726413,0.0006635354599462038,0.00026996311891581883,0.0001281471284155761,4.727064967486828e-07
22,0.013758599124452783,0.4115732952284814,0.0006611320447868317,0.0002831586900956788,0.0001281471347610003,4.821189406655686e-07
23,0.014383989993746092,0.43028117228432144,0.0006585011091879626,0.0002963676485084977,0.0001281471411637163,4.917188033243882e-07
24,0.0150093808630394,0.4489890493401615,0.0006556369496644277,0.0003095857164329097,0.00012814714762424134,5.01509816566758e-07
25,0.015634771732332707,0.4676969263960016,0.0006525339156877185,0.0003228082631993706,0.0001281471541430974,5.114957865417745e-07
26,0.016260162601626018,0.4864048034518416,0.0006491864333046428,0.0003360303066791053,0.0001281471607208111,5.216805951855964e-07
27,0.016885553470919325,0.5051126805076817,0.0006455890287668332,0.00034924651613623455,0.00012814716735791388,5.320682017304922e-07
28,0.017510944340212633,0.5238205575635217,0.0006417363520857821,0.0003624512164358802,0.0001281471740549419,5.426626442439305e-07
29,0.01813633520950594,0.5425284346193618,0.000637623200428241,0.00037563839359619006,0.0001281471808124362,5.534680411983249e-07
30,0.01876172607879925,0.5612363116752019,0.0006332445412672938,0.0003888017016674088,0.00012814718763094277,5.644885930720254e-07
31,0.01938711694809256,0.5799441887310419,0.000628595535205182,0.0004019344709163833,0.0001281471945110124,5.757285839821945e-07
32,0.020012507817385866,0.598652065786882,0.0006236715583850418,0.00041502971729023564,0.00012814720145320097,5.871923833501841e-07
33,0.020637898686679174,0.6173599428427221,0.0006184682244100806,0.0004280801531283837,0.0001281472084580693,5.988844476001e-07
34,0.021263289555972485,0.6360678198985621,0.0006129814056903911,0.00044107819908765925,0.0001281472155261833,6.108093218911497e-07
35,0.021888680425265792,0.6547756969544022,0.0006072072541395449,0.00045401599724097035,0.00012814722265811398,6.229716418845173e-07
36,0.0225140712945591,0.6734835740102423,0.000601142221145354,0.00046688542530580473,0.0001281472298544376,6.353761355453954e-07
37,0.023139462163852407,0.6921914510660824,0.0005947830767416741,0.0004796781119548851,0.00012814723711573544,6.48027624980916e-07
38,0.023764853033145718,0.7108993281219224,0.0005881269279109084,0.0004923854531574736,0.00012814724444259415,6.609310283146636e-07
39,0.024390243902439025,0.7296072051777625,0.0005811712359498763,0.0005049986294962027,0.00012814725183560568,6.740913615985221e-07
40,0.025015634771732333,0.7483150822336025,0.0005739138328349825,0.0005175086244008877,0.0001281472592953673,6.875137407625787e-07
41,0.02564102564102564,0.7670229592894425,0.000566352936526108,0.0005299062432375769,0.0001281472668224816,7.012033836038682e-07
42,0.02626641651031895,0.7857308363452826,0.0005584871651523581,0.0005421821331881021,0.0001281472744175568,7.151656118147016e-07
43,0.02689180737961226,0.8044387134011227,0.0005503155500267195,0.00055432680385266,0.00012814728208120635,7.294058530513903e-07
44,0.027517198248905566,0.8231465904569628,0.0005418375474407749,0.0005663306485054356,0.0001281472898140495,7.439296430441534e-07
45,0.028142589118198873,0.8418544675128028,0.0005330530491949177,0.000578183965931041,0.0001281472976167109,7.587426277490483e-07
46,0.028767979987492184,0.8605623445686429,0.0005239623918239413,0.0005898769827675358,0.00012814730548982097,7.738505655427376e-07
47,0.029393370856785492,0.879270221624483,0.0005145663644824679,0.00060139987628008,0.0001281473134340157,7.892593294609637e-07
48,0.0300187617260788,0.897978098680323,0.0005048662154593972,0.000612742797487803,0.0001281473214499369,8.049749094815854e-07
49,0.030644152595372107,0.9166859757361631,0.0004948636572953805,0.0006238958945652942,0.00012814732953823216,8.210034148530896e-07
50,0.031269543464665414,0.9353938527920032,0.0004845608704822464,0.0006348493364392182,0.00012814733769955493,8.373510764694487e-07
51,0.03189493433395872,0.9541017298478432,0.00047396050572829957,0.0006455933364999322,0.00012814734593456453,8.540242492922776e-07
52,0.032520325203252036,0.9728096069036832,0.0004630656847784715,0.0006561181763476434,0.00012814735424392624,8.710294148212039e-07
53,0.03314571607254534,0.9915174839595233,0.0004518799997833945,0.0006664142294925907,0.0001281473626283114,8.883731836134498e-07
54,0.03377110694183865,1.0102253610153633,0.0004404075112165928,0.0006764719849289537,0.00012814737108839727,9.060622978535584e-07
55,0.03439649781113196,1.0289332380712035,0.00042865274434409695,0.0006862820705027093,0.00012814737962486738,9.241036339743013e-07
56,0.035021888680425266,1.0476411151270435,0.00041662068425590696,0.0006958352759944296,0.00012814738823841134,9.425042053297609e-07
