sample_id,family,equation,mean_target_correct,std_target_correct,mean_wall_loss,mean_live_recovery,mean_dead_removal,mean_live_outlet_purity,mean_dead_outlet_purity,length_mm,mean_width_um,residence_s,active_joule_power_mW,steady_substrate_delta_c_proxy,thermal_risk,short_channel_score,v9_score
146,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),1.0,0.0,0.0,1.0,1.0,1.0,1.0,36.6896353721123,141.20682200454456,29.94515557861892,7.92735901932236,3.805854324308341,low,0.013627826903399774,1.1206228796840634
148,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),1.0,0.0,0.0,1.0,1.0,1.0,1.0,36.32208573710491,141.97672268225793,25.223956148661067,9.200527043061832,4.66064121025678,low,0.013765729303623768,1.1181032161973716
149,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),1.0,0.0,0.0,1.0,1.0,1.0,1.0,37.96897336669436,141.61053196764723,23.293139063733353,9.864482865552858,4.357498603171841,low,0.013168646809886891,1.1084293632195137
138,outlet_expanded_modulated_spiral,"r(theta)=a+b theta+c sin(n theta+phi), w(s)=w0[1+beta sigmoid(...)]",0.9888888888888889,0.0,0.0,0.9777777777777777,1.0,1.0,0.9782608695652174,46.055415529425936,141.90041079186437,29.29251203765412,9.409777527480902,2.3814812995875743,low,0.01061523130925886,1.0662252506907244
13,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),0.9454545454545454,0.0,0.0,0.8909090909090909,1.0,1.0,0.9016393442622951,34.764937765004994,136.47902362220614,6.587671693038937,7.319761549845869,3.5005497749554952,low,0.012813327855370071,1.060774496152876
51,outlet_expanded_modulated_spiral,"r(theta)=a+b theta+c sin(n theta+phi), w(s)=w0[1+beta sigmoid(...)]",0.9636363636363636,0.0,0.0,0.9272727272727272,1.0,1.0,0.9322033898305084,49.41609513239881,139.45814403140488,20.969156436149397,3.237298996104668,0.906159002719655,low,0.009382294622716728,1.0307777010819354
141,outlet_expanded_modulated_spiral,"r(theta)=a+b theta+c sin(n theta+phi), w(s)=w0[1+beta sigmoid(...)]",0.9388888888888889,0.0,0.0,0.9888888888888889,0.8888888888888888,0.898989898989899,0.9876543209876543,43.39746530392633,143.68333760910326,35.645231668374784,2.3406540258611304,0.61810680618479,low,0.010113237854220507,1.0198310712121619
150,tapered_c_spiral,"theta in [-pi, pi]; r(theta)=a+b theta+c sin(2 theta+phi)",0.7611111111111111,0.0,0.0,0.8666666666666667,0.6555555555555556,0.7155963302752294,0.8309859154929577,9.712813057753015,166.0390155316892,7.02290135416,2.7859840892578513,4.705699445220551,low,0.026883160373676246,1.0030595544741974
143,curvature_modulated_spiral,r(theta)=a+b theta+c sin(n theta+phi),0.8722222222222222,0.0,0.0,0.7444444444444445,1.0,1.0,0.7964601769911505,36.65558941859831,145.54715344382194,26.525464857215923,7.0005448452294585,3.114296798722391,low,0.010154582919716035,0.9616267611973486
142,outlet_expanded_modulated_spiral,"r(theta)=a+b theta+c sin(n theta+phi), w(s)=w0[1+beta sigmoid(...)]",0.9777777777777777,0.0,0.0,0.9555555555555556,1.0,1.0,0.9574468085106383,49.6044544241667,140.0163982135038,9.169758801724516,19.46960536287921,4.8292165087916725,moderate,0.009631751489338225,0.9567945771027444
