stage,sample_id,spiral_dep_on,straight_dep_on,spiral_flow_only,straight_flow_only,spiral_gain,dep_gain,synergy_score,spiral_wall_loss
inlet_focusing,59,0.74375,0.828125,0.5,0.5,-0.08437499999999998,0.24375000000000002,-0.08437499999999998,0.018750000000000003
inlet_focusing,82,0.684375,0.5,0.521875,0.5,0.18437499999999996,0.16249999999999998,0.16249999999999998,0.015625
inlet_focusing,71,0.696875,0.459375,0.5,0.503125,0.23750000000000004,0.19687500000000002,0.19687500000000002,0.04375
