frequency_hz,voltage_v,velocity_m_s,turns,inner_radius_m,pitch_m,channel_width_m,outlet_split_ratio,inlet_offset_ratio,inlet_spread_ratio,predicted_score
1877714.039213498,5.785431612730756,0.004112998571036103,2.977574021248926,0.001759833357412653,0.00024224420237265327,0.0002097496305028578,0.30355115069336125,-0.2829232226426645,0.7037678452167357,0.5419943585819571
2118052.6379915816,3.473596510024273,0.004710454494799254,3.1204702016126604,0.0011675928062607533,0.00017005018400904963,0.00023475444227406058,0.30728026564199634,-0.24120410934529013,0.6867041165496541,0.541736753240345
1548821.9507327634,2.2009329820546055,0.0038168932058197246,2.3419067742313566,0.002068033564434059,0.00022233096670610223,0.0001898847049739004,0.4580351348927836,-0.31753922520888683,0.5995684305180604,0.5388284397026285
2993402.83625678,2.7472283349529807,0.007118967688100817,2.5943989383745754,0.0008304406612645362,0.00027428150695174764,0.00020308121734456016,0.3150640424356008,-0.34080576584061156,0.6442675076220948,0.5384273342432112
4080261.8102902113,3.8561188786818685,0.007154219519435837,3.5140457846738267,0.0008693746374293166,0.00029381477634312834,0.00023403077435564298,0.5477741376808433,-0.2737665637602199,0.8143686266277486,0.5344971301744647
3211666.874557802,2.351993480395717,0.002326413760083444,2.91730602748346,0.0019806061239969475,0.00019782124564700603,0.0002388757768226302,0.385827232648489,-0.23836623854459538,0.649620497749831,0.5340802865226494
1970814.0818024375,4.541472931087924,0.007801301896858564,4.8965387735863475,0.0015960933217386685,0.0002345950186629612,0.00020185023128785844,0.3536741567202065,-0.16088636749930707,0.7755824327325999,0.5335423131940638
3027948.5009283684,6.475531029272696,0.007391320564780943,2.216410281682066,0.001653387887927715,0.00031967991980778534,0.00022799622638309042,0.3190157317044725,-0.0009679150476206155,0.520801287684111,0.5332292053883095
1899636.2351639792,2.7746290329527143,0.006899388698369535,2.072516654632715,0.0010286656359836163,0.0002570898209251442,0.0002368539489259705,0.5259298027214001,-0.3311136366267856,0.5253292100407312,0.5330301737584993
4675342.950155011,4.7791801743483555,0.005949486754162533,4.680432840030721,0.0012774889273128743,0.00019771065266512748,0.00020112158952176947,0.403685225221349,-0.4730330300627726,0.4487470294428932,0.5324073813989957
1688693.3887356678,7.202504415369668,0.003961574354051634,1.9500084997343976,0.0011197110513336394,0.0002206059936475988,0.00023395171806277044,0.28981780666019025,-0.3370266591561956,0.2771481240121897,0.5305040257016324
4011882.221799394,2.145380519440078,0.0026474033877270818,1.7796291712969754,0.0007714595772112819,0.0002263032422616416,0.0002367834326041809,0.41647328270639244,-0.5257437592288022,0.7251771916193019,0.5298434929782555
3536083.866736829,5.478485310342714,0.005971668295461497,1.5427996075943318,0.0016126643366388398,0.0002744686343593028,0.00023366624218743373,0.5437496109575144,-0.02261644916201999,0.5994296459418713,0.5298432574543872
2872101.121825935,7.520301962356126,0.006791286573131975,3.114534183183509,0.0016644716208102195,0.0002942466891212179,0.00020390449901297868,0.3182342942799034,-0.29501967361603276,0.2938344473903427,0.5298417079896991
2945464.568887855,3.6694714093096232,0.0027009036798881086,4.321625575464811,0.0016860145944545867,0.0002452213958160256,0.00021108810427019554,0.5810185072283434,-0.3297953283767957,0.5615232437315434,0.5282918970126629
2457425.683055838,2.5534748640118807,0.004434497289201546,1.5523930455470858,0.0019791225021669337,0.0001888073644556139,0.00021371866368712466,0.4001952430960384,-0.4838088329824413,0.37653222158827565,0.5278428700362239
3107998.275513553,7.547795474051048,0.0078849048828423,2.198376249257036,0.0013028339482105476,0.00031769485816128984,0.0002056550820267602,0.3181575957393694,-0.00487330665477681,0.3476323246057925,0.5265534948689162
4354692.6663083155,6.1639334229149245,0.0045924597143239985,2.196452069044186,0.001287737716606695,0.00032502489984625544,0.00019992476346587698,0.3587017109391839,-0.3909238004066749,0.6752432773013981,0.5260455126825001
2004351.4631714777,3.67354879364279,0.002950119715123805,5.192851923200366,0.001836788851810798,0.00019867937760353454,0.0002145398636818236,0.324339065466298,-0.39101267825359237,0.7567403634922284,0.5254701328433904
829968.4962687854,4.996412526233299,0.006806332122120122,1.649657601026417,0.0007131117938268853,0.0003440644767659034,0.00022588842612615998,0.5381429440754143,-0.29814218256754327,0.6024669226002459,0.5252738899185811
3989256.473905292,2.9820367645121966,0.003060743727179085,3.5914296244557073,0.0009933775643809258,0.0002552249302667311,0.00021944379063030598,0.6170569234590065,-0.10236776516271129,0.6857169079078878,0.5252683828331388
4410882.4200816145,6.295917078445937,0.0044467530132096,1.6338260895388208,0.0007103016365766207,0.00024495755736553574,0.00022572946235358568,0.3665013383000627,-0.4376494586782432,0.268035216694789,0.5248088483763773
2391860.1449900623,2.6576648599642696,0.005344949316738375,4.78342740392422,0.0011873589617037482,0.00013467554000875696,0.0002260252997272546,0.4141425642368365,-0.5325439398490945,0.42794832771878216,0.5246886411910088
2336069.1567085464,5.533235729632761,0.005828389495234581,2.7603854897846203,0.0013807590679658015,0.00020408665426688473,0.00021948104117621293,0.49606225183412955,-0.2358203391510172,0.3400225182737988,0.5232113374107312
1628002.4390452786,6.128414702479887,0.007645272226466403,2.12240167249164,0.0015418182767698322,0.00016817401443090552,0.00023218203215612433,0.36832169365143147,0.11896243652102667,0.46694461585681885,0.5221219633344244
1689650.687811732,6.0103963411340295,0.006775956118003945,2.8501941300566127,0.0015919818867063036,0.0003594621542845653,0.00020927526935319974,0.2790577671177185,-0.3508421910215736,0.29767461542548757,0.5218631220646182
3657369.142872073,6.406741081975392,0.003970042045674528,1.76928684034381,0.0017827069970833718,0.00014713398914613845,0.00023015960822699534,0.5703418814325885,-0.11878137176057768,0.6285334684822016,0.5213586137664088
3268799.253223905,2.9321966113678024,0.006276142907131583,2.904144344271703,0.0016756187622763152,0.0001245848986846757,0.00021378149093006948,0.3579722299841563,-0.48924509394402643,0.44712763601381195,0.5212459729671503
2697271.493753757,4.906157472199988,0.004628424544651063,3.2729001874450785,0.0010207357171237979,0.00027994812571342396,0.0001901997310669058,0.2518761215722106,-0.5738112538570699,0.5797612695415029,0.5211154013585562
634957.186472672,4.537614426105234,0.006866692209699737,4.227368966899061,0.001974519853788046,0.00035654213589957464,0.00019805649716926876,0.3525488503165203,-0.34615664971689747,0.5803425326011407,0.5202119689276465
3497300.9672900205,6.269498298109524,0.006691225318411603,1.5776276423362403,0.0007676074586213679,0.000140010722600504,0.00023189134507128767,0.38110917640902187,-0.6505481481596744,0.49223842145046903,0.5201878506559693
4098380.3793542036,2.966094820392076,0.003701062614331139,4.99071910303037,0.001758033136799472,0.00016009864407165504,0.00022401047889756244,0.4953231611830896,-0.526114880068403,0.5555440051094764,0.5200990216265948
4774288.011555351,6.552804782550927,0.005806944856771193,4.0725201791345595,0.0015947306151910946,0.00020054236364831063,0.00022633652057861485,0.3405064176614614,-0.05054188230660228,0.7295160153399753,0.5198420294099978
2260398.4597039158,8.222303152582798,0.00510743738248889,1.8247746977259451,0.0021467852909963095,0.0003074589174997032,0.00021892077736637542,0.28592803306253156,-0.1742659647622984,0.7441132577280559,0.5196746451995574
1990757.0724588046,5.528679654441852,0.005611938760153596,2.062350786896161,0.0015332896163834037,0.00017528627972543805,0.00018646758297095715,0.31178320091654904,-0.47179474422501244,0.4448543221084487,0.5194855788480988
3906493.0687143877,3.6625245262641077,0.002823765916916855,2.34560069401699,0.0007715196390762272,0.0003390309623222574,0.00021149750946237663,0.4706011579819444,0.05713832429756882,0.7638432102141421,0.5190917312259352
3152497.574589338,2.219762102455877,0.0027224974743700506,4.055346759863924,0.0017109130779551138,0.0003327042332924173,0.00021771779700481027,0.5808323769897256,-0.5810739637659336,0.753522191933607,0.5188958041973257
4702464.85266193,4.099959509076346,0.007466858674579561,3.7789824368913973,0.0016302200120143287,0.0003087758071744678,0.00021369595281431464,0.43922142412949045,0.08636856986117425,0.7350392427169834,0.5187524085968946
2681815.858893737,8.244560449691955,0.0044131749447525095,1.8356192521669685,0.001014203787487674,0.00026158493048101785,0.00023028947653886702,0.6741796192079552,-0.2570381822124766,0.736637738874774,0.5186948815550799
821729.9568764162,5.450299054040703,0.005844647255354612,2.5603154769458145,0.0014043355733251175,0.00025240735432127025,0.00020120639845840668,0.6976072492480083,-0.3535785283408975,0.6591029304949989,0.5183597837780293
4586365.604528435,6.265325665092908,0.004466310585616803,3.7105445825373042,0.0018314226430230342,0.00023119838327041227,0.00021588913052610976,0.6118803932476258,-0.06739687680493289,0.8138055094259773,0.518224348716473
1088804.829809092,5.528578947726353,0.004865818123951917,1.5981095581022953,0.0012925958599598068,0.00013943434621248172,0.0001914017044067116,0.3989368531105721,-0.28892640913341994,0.5073630352756561,0.5179058661085011
4419853.244028726,4.603775855675508,0.0037569338024929207,3.7685945905654235,0.0015593718128514848,0.00020895704285452116,0.00021610111178700767,0.6897760628930647,-0.37342169692144966,0.5932894303378942,0.5173251609247688
2828826.138918279,7.324058402464772,0.005174663883789893,2.0055246433791973,0.000602075120855438,0.00021617600420425185,0.00019533818750618032,0.263624655550894,-0.4097011649344329,0.7185361536699957,0.5170606487021302
2284276.883886746,3.07021304181806,0.007116662862096439,3.620203638308667,0.0020275492738721333,0.00031677484527900014,0.00020432921170250484,0.6602055729459523,-0.5407320697310272,0.5745658427227653,0.5165761811559322
4183873.5590376724,7.807261321023727,0.0038152930788690536,2.4700477686938287,0.0010289636202687894,0.00021106265170325314,0.00019988851987339282,0.39173936064770276,-0.06275728937395253,0.5112508317001171,0.5161963049040239
4353127.751845442,2.803446999195144,0.002807939456479061,3.860359387283015,0.0007411426931177171,0.00014813101512580796,0.00021364818864334903,0.5807630756118611,-0.41698598740369425,0.7330252228639966,0.515882239386631
4622643.505605575,3.8734329566754724,0.0043334515346980925,3.5420724777493278,0.001591984499564012,0.0002651587719102376,0.0002067395110732426,0.655464215980502,-0.09349830842726681,0.41382211513671985,0.5151105353006568
1872102.121109855,4.997970899854981,0.0027669242416231083,2.9658030942969775,0.0013161006814404043,0.00022667985217998037,0.00022538173997041212,0.5890003902574725,0.06030472506100082,0.6509723355148866,0.5149118568750637
4856470.633787557,3.779390062593279,0.0032221439881816322,1.8227914488489776,0.0020530730900257554,0.0003279801529226123,0.00021643978216803536,0.431094061969297,-0.6353619201597098,0.7513953699208853,0.5148971578589427
3036396.2596068946,2.345032749674229,0.006615536824987472,3.5129712778608475,0.0008314880003846721,0.0003237446152097923,0.00022945452020493176,0.672206942422612,-0.2511608732246698,0.5042062662465623,0.5147275611587048
1042989.6409636514,2.3124276354340587,0.0029049650724037573,5.331182246350231,0.000537740614357421,0.0002118080668106731,0.0002371811011010556,0.2590068423523232,-0.44056327664966727,0.28991414701590945,0.5147203851940018
1815080.9857169322,3.8043030063577277,0.007219265922961383,3.250726776505049,0.0008233671016158763,0.0003580027534622657,0.00019910029768824768,0.6524381442732619,-0.35327486767104127,0.4874809862903885,0.5133690590310986
