frequency_hz,live_re_cm,dead_re_cm,dead_minus_live
1000,-0.02224996074229932,-4.2420649472574256e-05,0.022207540092826744
1011.594,-0.02130961687196764,-4.242064962120211e-05,0.02126719622234644
1023.3225,-0.020349172561169082,-4.2420649773407555e-05,0.020306751911395676
1035.1869,-0.019368239877583404,-4.2420649929139224e-05,0.019325819227654265
1047.1889,-0.018366425284088776,-4.242065008847871e-05,0.018324004634000298
1059.33,-0.01734332964589609,-4.242065025155015e-05,0.01730090899564454
1071.6119,-0.01629854824278266,-4.242065041837869e-05,0.01625612759236428
1084.0362,-0.015231670786678751,-4.242065058911755e-05,0.015189250136089634
1096.6046,-0.01414228144487056,-4.242065076388349e-05,0.014099860794106677
1109.3187,-0.013029958869087777,-4.242065094266236e-05,0.012987538218145115
1122.1801,-0.011894276230754286,-4.242065112566517e-05,0.01185185557962862
1135.1907,-0.010734801262681556,-4.242065131297629e-05,0.010692380611368579
1148.3522,-0.009551096307497068,-4.242065150451996e-05,0.009508675655992548
1161.6662,-0.008342718373101536,-4.242065170069402e-05,0.008300297721400842
1175.1346,-0.0071092191954578235,-4.242065190131671e-05,0.007066798543556507
1188.7591,-0.005850145309018522,-4.242065210663663e-05,0.005807724656911885
1202.5416,-0.004565038125107777,-4.242065231677779e-05,0.0045226174727909995
1216.4839,-0.003253434018572383,-4.242065253178439e-05,0.003211013366040599
1230.5879,-0.0019148644230316746,-4.2420652751838086e-05,0.0018724437702798366
1244.8554,-0.0005488559350485201,-4.242065297697432e-05,0.0005064352820715458
1259.2883,0.0008450695724395713,-4.2420653207372805e-05,-0.0008874902256469441
1273.8885,0.002267394827097694,-4.2420653443213266e-05,-0.002309815480540907
1288.658,0.0037186070242345944,-4.242065368456e-05,-0.0037610276779191545
1303.5987,0.00519919768356868,-4.2420653931424815e-05,-0.005241618337500105
1318.7127,0.006709662495371533,-4.24206541841703e-05,-0.006752083149555703
1334.0019,0.008250501155642534,-4.242065444272841e-05,-0.008292921810085263
1349.4684,0.009822217189969165,-4.24206547073449e-05,-0.00986463784467651
1365.1141,0.011425317765724242,-4.242065497806182e-05,-0.011467738420702303
1380.9413,0.01306031349225288,-4.2420655255171164e-05,-0.01310273414750805
1396.952,0.014727718208707026,-4.242065553874477e-05,-0.01477013886424577
1413.1483,0.01642804875918214,-4.2420655828929565e-05,-0.016470469415011072
1429.5324,0.018161824754819582,-4.242065612588324e-05,-0.018204245410945466
1446.1064,0.019929568322540246,-4.242065642976228e-05,-0.01997198897897001
1462.8726,0.02173180384008014,-4.242065674068773e-05,-0.021774224496820826
1479.8332,0.023569057657007397,-4.2420657058974175e-05,-0.023611478314066372
1496.9904,0.025441857801408674,-4.242065738452537e-05,-0.0254842784587932
1514.3466,0.02735073367193998,-4.242065771780495e-05,-0.027393154329657787
1531.904,0.02929621571494881,-4.242065805877688e-05,-0.029338636373007584
1549.6649,0.031278835086391316,-4.2420658407644225e-05,-0.03132125574479896
1567.6318,0.033299123298271144,-4.242065876484154e-05,-0.033341543957035986
1585.8069,0.03535761184935912,-4.242065913017647e-05,-0.0354000325084893
1604.1928,0.0374548318399497,-4.242065950407552e-05,-0.03749725249945378
1622.7919,0.03959131357044886,-4.242065988679094e-05,-0.03963373423033565
1641.6066,0.04176758612359222,-4.242066027835776e-05,-0.04181000678387058
1660.6394,0.04398417693012817,-4.242066067908999e-05,-0.04402659759080726
1679.8929,0.04624161131781496,-4.24206610891706e-05,-0.04628403197890413
1699.3697,0.04854041204361224,-4.2420661508721224e-05,-0.04858283270512096
1719.0722,0.05088109880897765,-4.2420661938203656e-05,-0.050923519470915855
1739.0032,0.053264187758202526,-4.2420662377588594e-05,-0.05330660842058012
1759.1652,0.05569019095976167,-4.2420662827265185e-05,-0.05573261162258894
1779.561,0.05815961587068287,-4.242066328748139e-05,-0.05820203653397035
1800.1933,0.060672964783973764,-4.2420663758289445e-05,-0.060715385447732056
1821.0648,0.06323073425919677,-4.242066424014308e-05,-0.06327315492343691
1842.1783,0.06583341453630567,-4.242066473330917e-05,-0.06587583520103898
1863.5366,0.06848148893291983,-4.242066523791045e-05,-0.06852390959815774
1885.1425,0.07117543322523827,-4.2420665754285614e-05,-0.07121785389099256
1906.9989,0.07391571501286544,-4.2420666282691275e-05,-0.07395813567914813
1929.1087,0.0767027930678476,-4.2420666823413554e-05,-0.07674521373467101
1951.4748,0.07953711666829144,-4.24206673767851e-05,-0.07957953733566822
1974.1003,0.08241912491697745,-4.242066794304553e-05,-0.0824615455849205
1996.9881,0.0853492460454414,-4.242066852253144e-05,-0.08539166671396393
2020.1412,0.088327896704059,-4.2420669115497395e-05,-0.0883703173731745
2043.5628,0.09135548123871963,-4.242066972233043e-05,-0.09139790190844196
2067.2559,0.09443239095475153,-4.242067034327608e-05,-0.09447481162509482
2091.2237,0.0975590033688081,-4.242067097879537e-05,-0.0976014240397869
2115.4695,0.10073568144950222,-4.2420671629022793e-05,-0.10077810212113124
2139.9963,0.10396277284763875,-4.2420672294507185e-05,-0.10400519351993326
2164.8075,0.10724060911695972,-4.242067297546111e-05,-0.10728302978993517
2189.9063,0.11056950492639059,-4.2420673672311644e-05,-0.1106119256000629
2215.2961,0.11394975726484188,-4.2420674385388127e-05,-0.11399217793922727
2240.9803,0.11738164463969573,-4.242067511510671e-05,-0.11742406531481084
2266.9623,0.12086542627016651,-4.2420675861812836e-05,-0.12090784694602832
2293.2456,0.12440134127681302,-4.242067662601853e-05,-0.12444376195343904
2319.8335,0.12798960786853428,-4.242067740797463e-05,-0.12803202854594226
2346.7297,0.13163042252845517,-4.242067820821529e-05,-0.1316728432066634
2373.9378,0.13532395920018947,-4.242067902705146e-05,-0.13536637987921651
2401.4613,0.13907036847601387,-4.242067986505657e-05,-0.13911278915587894
2429.3039,0.14286977678857707,-4.242068072260836e-05,-0.14291219746929967
2457.4694,0.1467222856078175,-4.242068160004466e-05,-0.14676470628941754
2485.9613,0.15062797064482733,-4.242068249814052e-05,-0.15067039132732546
2514.7836,0.15458688106447513,-4.242068341705207e-05,-0.1546293017478922
2543.9401,0.15859903870863407,-4.2420684357339214e-05,-0.1586414593929914
2573.4346,0.16266443733194164,-4.2420685319745455e-05,-0.16270685801726137
2603.2711,0.16678304185204362,-4.242068630442491e-05,-0.16682546253834804
2633.4535,0.17095478761634622,-4.242068731213e-05,-0.17099720830365836
2663.9859,0.17517957968731296,-4.242068834331143e-05,-0.17522200037565627
2694.8722,0.1794572921484128,-4.2420689398545904e-05,-0.17949971283781135
2726.1166,0.1837877674328288,-4.242069047839992e-05,-0.1838301881233072
2757.7233,0.18817081567707625,-4.2420691583524434e-05,-0.18821323636865978
2789.6964,0.1926062141017024,-4.242069271430578e-05,-0.1926486347944167
2822.0403,0.19709370642123603,-4.242069387152271e-05,-0.19713612711510756
2854.7591,0.20163300228558442,-4.242069505568098e-05,-0.2016754229806401
2887.8572,0.2062237767550494,-4.242069626751871e-05,-0.20626619745131694
2921.3391,0.21086566981114238,-4.2420697507593666e-05,-0.21090809050864998
2955.2092,0.21555828590535647,-4.242069877659913e-05,-0.21560070660413308
2989.472,0.2203011935480191,-4.242070007518415e-05,-0.2203436142480943
3024.1321,0.22509392493933217,-4.24207014040358e-05,-0.2251363456407362
3059.1939,0.2299359756446429,-4.242070276394847e-05,-0.22997839634740685
3094.6623,0.2348268043159561,-4.242070415549521e-05,-0.2348692250201116
3130.5419,0.2397658324616183,-4.2420705579483495e-05,-0.23980825316719778
3166.8375,0.24475244426605297,-4.242070703677023e-05,-0.24479486497308975
3203.5539,0.24978598646132924,-4.242070852804884e-05,-0.2498284071698573
3240.696,0.25486576825226404,-4.242071005405708e-05,-0.2549081889623181
3278.2688,0.2599910612966641,-4.242071161565217e-05,-0.26003348200827975
3316.2771,0.2651610997421949,-4.242071321364901e-05,-0.2652035204554085
3354.7261,0.27037508032125257,-4.2420714848963156e-05,-0.2704175010361015
