class,particle_id,progress,theta_rad,lateral_m,x_m,y_m,outlet
live,0,0.0,0.0,-2.4001705258241072e-05,0.0010386145235813306,-3.937553614439638e-07,outer
live,0,0.0038461538461538464,0.0291435044544374,-2.3977593752455745e-05,0.0010386458016935893,2.9885012397955732e-05,outer
live,0,0.007692307692307693,0.0582870089088748,-2.3970864611204175e-05,0.0010378115249887047,6.016598418406327e-05,outer
live,0,0.011538461538461539,0.0874305133633122,-2.3962585867060864e-05,0.001036092664538713,9.042358200428946e-05,outer
live,0,0.015384615384615385,0.1165740178177496,-2.3948167885766106e-05,0.0010334853134536122,0.00012063145469960002,outer
live,0,0.019230769230769232,0.145717522272187,-2.3972952031354488e-05,0.0010300358993419888,0.00015076917892052247,outer
live,0,0.023076923076923078,0.1748610267266244,-2.3945098703528697e-05,0.0010256554121404616,0.0001807999551567777,outer
live,0,0.026923076923076925,0.2040045311810618,-2.3903233899772033e-05,0.0010203854135673455,0.000210700805247486,outer
live,0,0.03076923076923077,0.23314803563549918,-2.3928916373384843e-05,0.0010143095006666426,0.00024046252911438424,outer
live,0,0.03461538461538462,0.2622915400899366,-2.389980657529284e-05,0.0010073121426770533,0.00027003566024838896,outer
live,0,0.038461538461538464,0.291435044544374,-2.3841118181988953e-05,0.0009994238958041387,0.00029939707835845267,outer
live,0,0.04230769230769231,0.32057854899881144,-2.3797914413222238e-05,0.0009906944228414095,0.00032853264906116785,outer
live,0,0.046153846153846156,0.34972205345324886,-2.3796791265784256e-05,0.000981155167065094,0.000357427401779499,outer
live,0,0.05,0.3788655579076863,-2.3800825863096062e-05,0.0009707777780113082,0.0003860469240516972,outer
live,0,0.05384615384615385,0.4080090623621237,-2.3799762825551194e-05,0.0009595606604141515,0.0004143631222578889,outer
live,0,0.057692307692307696,0.4371525668165611,-2.382802136357812e-05,0.0009475441613545473,0.00044236527997682575,outer
live,0,0.06153846153846154,0.46629607127099854,-2.3837099151448952e-05,0.0009346930041999711,0.0004700105155418202,outer
live,0,0.06538461538461539,0.49543957572543595,-2.3846962988870376e-05,0.0009210357735058651,0.0004972826688924195,outer
live,0,0.06923076923076923,0.5245830801798733,-2.384814353880299e-05,0.0009065750198837857,0.0005241536419482529,outer
