class,particle_id,frequency_hz,radius_um,re_cm,initial_lateral_um,final_lateral_um,outlet,wall_state
live,0,1302722.8447569925,11.142527078781775,0.9721754070055049,-24.00170525824107,0.3934413893802966,outer,
live,1,1302722.8447569925,11.68845606959833,0.9715012724621848,-28.249437534671028,0.7967454942530089,outer,
live,2,1302722.8447569925,9.42750890497865,0.9769371783080055,-17.033768485240632,-1.0288090633061162,outer,
live,3,1302722.8447569925,10.941968483718393,0.9774339728572585,-26.53484128010762,-1.0918197236390614,outer,
live,4,1302722.8447569925,10.077316680065511,0.9818494528372226,-25.037517638142894,-2.228268655704446,outer,
live,5,1302722.8447569925,11.821992550639202,0.9777253756533494,-24.171291043224837,1.919307402411442,outer,
live,6,1302722.8447569925,10.27055102323904,0.9691413405519159,-25.581362386601207,-3.0613783155816296,outer,
live,7,1302722.8447569925,12.549282274963936,0.9762929376509136,-26.491788600451855,2.874452559900633,outer,
live,8,1302722.8447569925,10.376777444777776,0.9807706643708245,-18.2656390313376,0.846102950719006,outer,
live,9,1302722.8447569925,10.950134407186841,0.9640343669449805,-24.771537283429897,-0.4331515439056681,outer,
live,10,1302722.8447569925,10.814499691285363,0.9770778309918174,-25.318054489888347,-1.0239688723519083,outer,
live,11,1302722.8447569925,12.447501326898449,0.9779010139097787,-24.01704125155768,3.8592056891781334,outer,
live,12,1302722.8447569925,9.560891726994901,0.969115383097281,-29.018430078152115,-5.626064010430269,outer,
live,13,1302722.8447569925,10.180956936730178,0.9769109425419341,-19.131643185262668,0.05492290679120886,outer,
live,14,1302722.8447569925,10.76391195486435,0.965248766590764,-25.561157421156405,-1.7611451372194225,outer,
live,15,1302722.8447569925,13.005632959867638,0.9737272619302859,-25.318135756121116,5.043327788109596,outer,
live,16,1302722.8447569925,11.32518703082542,0.9773504428672704,-21.428639793940924,1.8356332935577417,outer,
live,17,1302722.8447569925,11.72168586345589,0.9719344338119884,-27.184203281736707,0.6685716458889747,outer,
live,18,1302722.8447569925,12.930224425647408,0.9790965375158145,-20.13896229742933,6.263418530515133,outer,
live,19,1302722.8447569925,13.397319877629746,0.9824440029572888,-27.408154319445806,5.308052829204741,outer,
live,20,1302722.8447569925,11.186633490325988,0.9727547162827751,-26.345387595049658,-0.5146628053204116,outer,
live,21,1302722.8447569925,10.6627964298859,0.9763391807859532,-18.111789689381563,2.224972060231572,outer,
live,22,1302722.8447569925,12.142482431749514,0.9731441055610252,-25.39692919717652,2.3582731686120644,outer,
live,23,1302722.8447569925,12.146881052662085,0.9620333325662342,-24.98155917438028,2.4508760887198524,outer,
live,24,1302722.8447569925,12.106117565581409,0.9794878858152676,-24.558491909556086,2.3615655552794577,outer,
live,25,1302722.8447569925,10.003439973572606,0.9591401338247131,-27.544220669445792,-4.053009021903117,outer,
live,26,1302722.8447569925,10.113122527202146,0.9761090624210229,-24.19134552456896,-2.5343337820842695,outer,
live,27,1302722.8447569925,11.022547995132145,0.9757143019897846,-24.42090227934381,-0.1739716519797565,outer,
dead,28,1302722.8447569925,9.475586564958675,-0.008637889122991751,-24.535754425712923,-22.685507755468187,inner,
dead,29,1302722.8447569925,11.358962805154,-0.013351982840687324,-27.005791614380673,-25.970316017503713,inner,
dead,30,1302722.8447569925,11.65755582408045,-0.010553231322144946,-21.54324701744815,-19.97262396233344,inner,
dead,31,1302722.8447569925,11.019515520250142,0.005092238566892732,-17.682545495662893,-15.385346481076922,inner,
dead,32,1302722.8447569925,11.882815321483475,0.023090261057910576,-27.573484180435777,-23.90696628326871,inner,
