frequency_hz,voltage_v,velocity_m_s,turns,inner_radius_m,pitch_m,channel_width_m,outlet_split_ratio,inlet_offset_ratio,inlet_spread_ratio,dep_start_fraction,dep_end_fraction,dean_scale,dep_sign,predicted_score
4917353.160087622,19.74254772973894,0.004085780570725729,4.796750239743588,0.002140037481982284,0.00019493096470353156,0.00023353245308593476,0.29342700787427384,-0.6789822357388708,0.16160468430888808,0.5390010667085353,0.695437386911328,0.48562182241846547,-0.3929792831918659,0.7276795959810518
4595986.523351227,23.454484619498363,0.0010738100061168658,5.94767920750342,0.0017023222752147152,0.0002193789354234021,0.00019636051293452496,0.35300553161978326,-0.1412798538797666,0.7199073907029585,0.3358056858863213,0.8403767950680524,0.1812117258891411,-0.6943934589952641,0.7267599379262569
3547475.8002532227,21.066376527079328,0.004692896700445146,2.180086555069549,0.0015954040417938782,0.00015598485179186305,0.00019522710419971374,0.2916894750212052,-0.43787845564640376,0.161674130012869,0.698082416927025,0.5643647094446235,0.15676509078023057,-0.8185219740240433,0.7205552374393964
332729.41621433565,21.022552028487567,0.001288540964879108,4.560040312646447,0.0016394695331457417,0.00014645507870784914,0.00020552873196164216,0.3215283490403733,-0.7180638442035443,0.3608899687742586,0.47409439036979484,0.632991607065662,0.15673324052597676,-0.2206491316908734,0.7157495294663048
4263457.050798539,21.215583560420143,0.001746675385068221,7.13584078282606,0.0016775873394108652,0.00028620663887750207,0.00023392723463261264,0.3961282813548982,-0.7354733393955964,0.18918158822154352,0.7180657966625208,0.5474175752402739,0.34860003719641275,-0.20193166696247244,0.713638684547816
2636703.634798898,23.010438694948157,0.0025118987534378853,4.01702577526332,0.001961203375367816,0.00036512809831569146,0.00022220013208977505,0.3235432428093971,-0.6900668720755896,0.5631754382180296,0.4045799330906359,0.6899391223616886,0.1974486658177327,-0.611756696162175,0.7106984292386799
962668.9025935278,4.613024625566691,0.0022445469767528267,2.119031215878765,0.001153493031374945,0.00031080549370623176,0.00011989418783473613,0.3225534632989441,-0.4514518433938996,0.12715068412821143,0.6321650100214946,0.2653892443232515,0.4587845104693622,-0.3950255062163073,0.7087248265727889
2125832.808607157,13.164634867974748,0.003233495174145103,2.148445045429173,0.0017449188850328567,0.0004370036086898545,0.00017260345886270227,0.32818014596581374,-0.46913180124057785,0.13751274476041708,0.5354651951744399,0.9807691122473183,0.18110491188991798,-0.15187622270042822,0.706017231792623
4769473.466851828,19.463988456989853,0.0025050032470646296,5.3510754278689845,0.002016378033564272,0.00011247615618113492,0.00016108753589404038,0.3143224476266093,-0.6472714449394523,0.28291472029715514,0.2969022587736263,0.706181381136397,0.04603163279981755,-0.14730831194714544,0.7045978992333239
1283973.513081503,20.6927600879839,0.001139976828954103,1.5919097088608045,0.001255683907000271,0.0003267321431681521,0.00022286318060445352,0.28350480930324345,-0.47989717167083307,0.5708604013823442,0.5516557359838585,0.9163340700360099,0.18599587466292555,-0.15211882284884926,0.7042666663357748
