stage,sample_id,seed,family,equation,shape_class,inlet_kind,frequency_hz,voltage_v,effective_voltage_v,velocity_um_s,turns,radius_um,pitch_um_per_turn,width_um,eccentricity,curvature_power,inlet_length_um,inlet_offset_ratio,inlet_spread_ratio,dep_start_fraction,dep_end_fraction,electrode_gap_um,electrode_coverage,field_gain,dean_scale,target_correct,wall_loss,distribution_gap_um,live_recovery,dead_removal,live_outlet_purity,dead_outlet_purity,length_mm,footprint_mm2,residence_s,flow_uL_min,pressure_drop_kPa,reynolds,effective_field_kV_m,active_joule_power_mW,adiabatic_delta_c_proxy,steady_substrate_delta_c_proxy,thermal_risk,manufacturable_gap_ok,manufacturable_bend_ok,manufacturable_no_intersection_ok,self_intersects,channel_overlap_flag,min_nonlocal_clearance_um,mean_curvature_1_m,p95_curvature_1_m,min_curvature_radius_um,smoothness_index,path_samples_valid,short_channel_score,v11_score,v12_score
v12_operating_screen,87,121087,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1687925.6376205885,19.282313625144404,20.09315102113524,762.3954195921606,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.524057440486932,0.23062231498384814,0.2930063849655489,0.8025896793002598,70.24475615903417,0.6350359345594586,1.0420508353797076,1.6863615959255893,1.0,0.0,31.95830168640908,1.0,1.0,1.0,1.0,7.079656095729848,3.6733717016350447,9.286068506965941,0.2197671663250698,0.038543827361240915,0.04999508955652055,286.04485401934255,2.836203339426601,185.80370335567093,3.860490538112691,low,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0706248994639131,2.0593734919586963,2.0471393149303405
v12_operating_screen,62,121062,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1549125.7899216174,16.476747311370147,17.709862869563917,903.2185518136416,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.406451032989497,0.2937207650623463,0.26824931732424556,0.8002488574435314,59.61720525636908,0.6796838249560027,1.0748397444526463,1.6863615959255893,0.9923076923076923,0.0,21.023588769495493,1.0,0.9846153846153847,0.9848484848484849,1.0,7.079656095729848,3.6733717016350447,7.8382536336461035,0.26036066928432305,0.04566331202409155,0.059229752995092796,297.0595953535061,3.193403454363484,176.58679396583528,4.346692512688108,low,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.06953836254908366,2.035383130543947,2.0441958041958044
v12_operating_screen,6,121006,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1636501.6717966013,12.0,13.323396445550625,800.0,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.48002269110239293,0.16963066435447183,0.2335934765508016,0.8799601523090045,48.14336758918336,0.6152455414719535,1.1102830371292187,1.6863615959255893,0.9923076923076923,0.0,20.04805209806346,0.9846153846153847,1.0,1.0,0.9848484848484849,7.079656095729848,3.6733717016350447,8.849570119662308,0.23060701644050596,0.0404449726435762,0.05246105973014912,276.7441729303553,3.3656016691026935,210.12126546531928,4.581079648983847,low,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.06953836254908366,2.035383130543947,2.0357001029991815
v12_operating_screen,11,121011,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1636501.6717966013,14.0,15.543962519809062,800.0,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.48002269110239293,0.16963066435447183,0.2335934765508016,0.8799601523090045,48.14336758918336,0.6152455414719535,1.1102830371292187,1.6863615959255893,1.0,0.0,23.615494501951314,1.0,1.0,1.0,1.0,7.079656095729848,3.6733717016350447,8.849570119662308,0.23060701644050596,0.0404449726435762,0.05246105973014912,322.86820175208123,4.580957827389779,285.99838910557355,6.235358411116905,moderate,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0706248994639131,2.0093734919586965,1.986797130581039
v12_operating_screen,106,121106,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,2035969.6567109851,18.09616833380104,18.700676914403846,1248.1658455157012,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.45903914204578655,0.29554290843883824,0.23832115642445045,0.8671788632134325,68.7076449781447,0.4657329609405451,1.0334053358397244,1.6863615959255893,0.9615384615384616,0.0,23.245101521785806,0.9230769230769231,1.0,1.0,0.9285714285714286,7.079656095729848,3.6733717016350447,5.672047605824982,0.35979475207164663,0.06310254184566085,0.0818501287184141,272.1775272657413,3.167884295305984,126.76352188232535,4.311957178055158,low,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.06519221488976594,1.9394216848849508,1.9817582417582416
v12_operating_screen,105,121105,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1427492.5740753063,21.040734962660018,22.61746762918055,1683.538953955478,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.42848253683109466,0.17091680463795153,0.36554615621131786,0.8525633892144056,57.70716585782961,0.625978930394999,1.0749371478381664,1.6863615959255893,1.0,0.0,19.367855722826622,1.0,1.0,1.0,1.0,7.079656095729848,3.6733717016350447,4.205222622913585,0.4852948690413039,0.08511335867140524,0.11040029702686388,391.93516598791433,5.087752738657941,150.9385270029526,6.925180939888747,moderate,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0706248994639131,2.0093734919586965,1.9814963812022253
v12_operating_screen,35,121035,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1302722.8447569925,20.357955657722414,21.149899630869832,1897.2256570240977,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.3899970199619684,0.23720433256898654,0.336473112324817,0.8347874466490763,72.86963104370614,0.6783209926411908,1.038900957761297,1.6863615959255893,0.9538461538461539,0.0,15.52503563758507,0.9076923076923077,1.0,1.0,0.9154929577464789,7.079656095729848,3.6733717016350447,3.731583572844295,0.5468919353508822,0.09591654974628812,0.12441308564339074,290.24299050154974,2.8552115055564435,75.16515824861574,3.8863634522550057,low,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0641056779749365,1.9154313234702016,1.9663271939328275
v12_operating_screen,83,121083,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1273676.999505935,20.928831639664608,21.736373541913572,1727.9348240809798,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.4105351778891682,0.28868755168593196,0.25430181787862194,0.8290130925060661,70.51496337547874,0.5911206964404536,1.0385851401622679,1.6863615959255893,0.9538461538461539,0.0,18.41457430960311,0.9846153846153847,0.9230769230769231,0.927536231884058,0.9836065573770492,7.079656095729848,3.6733717016350447,4.097177739036099,0.49809236798120654,0.08735784586229733,0.11331161501989623,308.2519298233415,3.7144031301565996,107.36406829066591,5.055849818442402,low,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0641056779749365,1.9154313234702016,1.965544163605461
v12_operating_screen,12,121012,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,1636501.6717966013,14.0,15.543962519809062,1200.0,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.48002269110239293,0.16963066435447183,0.2335934765508016,0.8799601523090045,48.14336758918336,0.6152455414719535,1.1102830371292187,1.6863615959255893,0.9846153846153847,0.0,19.262329738232403,0.9692307692307692,1.0,1.0,0.9701492537313433,7.079656095729848,3.6733717016350447,5.899713413108207,0.3459105246607589,0.06066745896536428,0.07869158959522367,322.86820175208123,4.580957827389779,190.6655927370491,6.235358411116905,moderate,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.06845182563425424,1.9613927691291984,1.9637658512954572
v12_operating_screen,80,121080,monotone_curvature_spiral,r(theta)=r0/(1+k theta)^p,monotone_curvature_spiral,outer_low_curvature_entry,2064552.139081936,20.526321958964225,22.21079680378908,871.5138373884678,1.2059665261655397,1014.6160483793764,104.59825210505,96.0862568502108,1.0,1.1638201410895466,704.8073199949251,-0.44985112748774864,0.11927830267782771,0.2916885871514126,0.8791803114940184,58.311649996665494,0.7037789379649316,1.0820641344412516,1.6863615959255893,1.0,0.0,32.1180905963557,1.0,1.0,1.0,1.0,7.079656095729848,3.6733717016350447,8.123400675936908,0.2512215072834635,0.044060441639593356,0.05715067434860984,380.8981019240441,5.7947233034321055,332.089922377436,7.88747202039591,moderate,True,True,True,False,False,238.36101330665636,1070.7317355879252,1396.2191877727091,716.2199236032776,0.3640707345596775,2014,0.0706248994639131,2.0093734919586965,1.9610165528327124
